Sample,Removed,Site,Site_grp,Taxa,Taxa_grp,Mineralogy,meter,Strat_height_other,lat,lng,AMNH_loc,Series,Stage,Formation,Biozone_macro,Biozone_nano,Biozone_foram,Dissolution,Secondary_growth,SEM_score,ppm Sr in powder (mg/g),ppt Mg in powder (mg/g),ppm Ba in powder (ug/g),ppm Mn in powder (ug/g),ppm Fe in powder (ug/g),Trace_score,Removed,Nreps_good,d13C_PDB,sd13,d18O_PDB,d18O_SMOW,sd18,D47_CDES90adj,intse47adj,lt95ci47,D48_CDES90adj,intse48adj,lt95ci48,Temp,intseT,Tmin,Tmax,lt95ciT,dw,intsedw,dwmin,dwmax,lt95cidw
BRAZOS-0.45OYSTER,N,Brazos,Brazos,oyster,Oyster,,-0.45,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,0,0,GOOD,1.395,1.396,18.274,149.805,313.146,,,3,1.847042416,0.015459647,-2.005830099,28.84216969,0.037589163,0.595776733,0.00562394,0.02201784,0.233527777,0.042433389,0.090131324,24.3,1.9,17.2,32.1,7.45,0.238861938,0.423838927,-1.279123001,1.825923506,1.552523253
AVA-0.85OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,-0.85,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,0.666044673,2.286214178,5.785864663,70.50190586,320.6385193,,,3,1.82769423,0.016536534,-2.25506181,28.58523423,0.003301971,0.605224038,0.007854774,0.02201784,0.207078674,0.025154316,0.090131324,21.2,2.55,14.3,28.7,7.2,-0.649099847,0.533550636,-2.120611479,0.876238123,1.498424801
0.65-3525,N,Avalon,Avalon-TrimCane,pulaskensis,Oyster,,-0.65,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,0,0,GOOD,1.041,2.179,10.876,166.845,320.826,,,5,2.1551343,0.075027098,-1.32195241,29.54718604,0.241169954,0.571981927,0.014295177,0.017054945,0.121130951,0.040560419,0.069815423,32.7,5.25,26.6,39.1,6.25,2.591967816,1.249657225,1.155346161,4.039243599,1.441948719
Mal-MS-40-OyB,N,Malvern,Malvern,oyster,Oyster,,-4,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,1.329,1.008,27.865,966.636,342.854,,,3,-0.81852864,0.335396557,-3.200800424,27.61026283,0.098851873,0.556106872,0.006305061,0.02201784,0.21232052,0.017459865,0.090131324,38.7,2.45,30.5,47.6,8.55,1.841408891,0.551459823,0.182216621,3.546435301,1.68210934
Mal-MS-15-oy,N,Malvern,Malvern,oyster,Oyster,,1.5,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,,,,1.358,1.608,32.859,622.043,357.688,,,3,-0.438868414,0.022207838,-0.7934806,30.09199292,0.00938859,0.582011821,0.010392265,0.02201784,0.272968928,0.038656335,0.090131324,29.1,3.65,21.6,37.2,7.8,1.633116304,0.724771529,0.117426686,3.189929949,1.536251631
AVA-0.7OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,-0.7,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,0.842322677,1.479419696,12.98800158,131.0385049,362.7019393,,,3,2.280203399,0.043198603,-2.075400077,28.77044931,0.051782994,0.592149501,0.001580368,0.02201784,0.248175391,0.026110971,0.090131324,25.6,0.55,18.3,33.4,7.55,0.432979905,0.161512382,-1.1284466,2.020869555,1.574658078
BRAZOS-0.33OYSTER,N,Brazos,Brazos,oyster,Oyster,,-0.33,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,,,,1.255,1.712,24.353,255.026,363.947,,,3,2.213037033,0.040570427,-1.586002266,29.2749744,0.079062493,0.591016891,0.005387797,0.02201784,0.257837484,0.008665138,0.090131324,26,1.85,18.7,33.8,7.55,1.004382917,0.450004315,-0.580313015,2.615663411,1.597988213
-7CYPRIMERIA,N,Malvern,Malvern,Cyprimeria,Mussel,,-7,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,0,0,GOOD,3.159,0.281,77.015,48.218,376.221,,,3,1.542318132,0.224229513,-1.384127442,29.48308918,0.133131282,0.602247384,0.011166192,0.02201784,0.277289417,0.007613167,0.090131324,22.2,3.65,15.2,29.7,7.25,0.430697474,0.884228861,-1.179986659,2.073855802,1.626921231
TCC_PUL_+0.7,N,TrimCane,Avalon-TrimCane,Ostrea pulaskensis,Oyster,,0.9,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1b,,,,1.068,2.475,3.975,127.682,388.809,,,3,2.759824882,0.047139882,-0.986892667,29.89260248,0.199037486,0.587373039,0.011008757,0.02201784,0.211965028,0.036643537,0.090131324,27.2,3.8,19.9,35.2,7.65,1.846264579,0.954625717,0.155923444,3.601724804,1.72290068
TCC-PYC,N,TrimCane,Avalon-TrimCane,Pycnodonte pulaskensis,Oyster,,,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,,0,0,GOOD,1.747381854,2.147690047,193.0534755,1940.570462,389.2626466,,,3,3.088077646,0.002179849,-0.554554688,30.33830403,0.025257469,0.577176871,0.01299598,0.02201784,0.216818942,0.048643116,0.090131324,30.8,4.65,23.2,39,7.9,2.992701105,0.93499852,1.443502901,4.581483362,1.568990231
TCC-GRY,N,TrimCane,Avalon-TrimCane,Gryphaeostrea vomer,Oyster,,,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,,0,1,GOOD,0.371114853,0.715523704,99.60897919,451.9744818,414.425747,,,3,3.26538127,0.034871783,-3.294155863,27.51402178,0.028763945,0.574496141,0.008237517,0.02201784,0.252888829,0.057557568,0.090131324,31.8,3,24.1,40.1,8,0.437963043,0.60996088,-1.121064914,2.034512814,1.577788864
ANOMIAAMNH3484,N,PBLandfill,NA,Anomia,Clam,,,,33.967222,-89.000833,3483,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris-D. minardi,CC25b?,UC20aTP?,,,,0.648677587,1.297115947,13.77377447,194.1028938,418.8285127,,,4,2.278022459,0.081995546,-3.827167464,26.96453479,0.038914125,0.572909753,0.007802521,0.019068008,0.173040166,0.013442989,0.078056016,32.4,2.8,25.6,39.6,7,0.019052102,0.578686829,-1.361032954,1.416411251,1.388722103
ESP_DAN_LOW_OYA,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0.15,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.271,1.297,4.666,53.423,427.381,,,3,2.725070316,0.012175307,-1.500254539,29.36337259,0.036757605,0.606995962,0.013683183,0.02201784,0.272014239,0.006023825,0.090131324,20.6,4.45,13.8,28.1,7.15,-0.018196951,0.965713834,-1.507292519,1.546807384,1.527049952
BRAZOS-0.63OYSTER,N,Brazos,Brazos,oyster,Oyster,,-0.63,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,0,0,GOOD,1.34,1.684,286.865,196.968,432.688,,,3,0.542262301,0.053090357,-1.616427248,29.24360899,0.058315193,0.593346616,0.007216325,0.02201784,0.25875903,0.056487337,0.090131324,25.2,2.45,18,32.9,7.45,0.812123774,0.553399125,-0.739056243,2.391742124,1.565399184
TCC_OY_+0.9,N,TrimCane,Avalon-TrimCane,oyster,Oyster,,0.7,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1b,,,,1.034,1.842,3.853,69.378,444.624,,,3,2.954854232,0.040171935,-0.733063564,30.15427744,0.176675198,0.60196277,0.008935266,0.02201784,0.172659365,0.051272378,0.090131324,22.3,2.95,15.3,29.8,7.25,1.103629261,0.781747571,-0.549292732,2.78917499,1.669233861
ESP+0.64_OY,N,EllisSandPit,EllisSandPit,oyster,Oyster,,-0.06,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.387,1.395,4.909,60.789,468.739,,,3,0.616857168,0.023656855,-2.515410282,28.31683839,0.036461733,0.574357316,0.011244626,0.02201784,0.261927842,0.07792303,0.090131324,31.8,4.1,24.1,40.2,8.05,1.219624601,0.831523487,-0.34808308,2.843327177,1.595705129
MAL-3.5OYSTER,N,Malvern,Malvern,oyster,Oyster,,-3.5,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,1.301,4.129,17.876,1302.267,477.32,,,3,1.624186469,0.079573864,-2.260006439,28.58013676,0.018081106,0.580478445,0.003704459,0.02201784,0.292386125,0.005495337,0.090131324,29.6,1.35,22.1,37.8,7.85,1.045802166,0.283438866,-0.48501044,2.636793368,1.560901904
TCC_OY_-0.2,N,TrimCane,Avalon-TrimCane,oyster,Oyster,,-0.2,,33.440737,-88.9084,3944,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,1.622,2.656,7.996,250.038,514.485,,,3,3.780436623,0.050668588,-3.422617062,27.38158984,0.058173049,0.577704442,0.009003414,0.02201784,0.15265599,0.066538101,0.090131324,30.6,3.2,23,38.8,7.9,0.075397871,0.682074593,-1.503383447,1.693749531,1.598566489
-4BIVALVE,N,Malvern,Malvern,Bivalvia,Indet. Bivalvia,,-4,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,0,0,GOOD,2.878,0.264,13.973,81.675,568.435,,,3,3.542076399,0.047555433,-0.499932034,30.39461507,0.098366351,0.588607387,0.005722454,0.02201784,0.25474121,0.031372734,0.090131324,26.8,2,19.5,34.7,7.6,2.254369234,0.497400307,0.657165777,3.897401503,1.620117863
TCC_OY_+1.35,N,TrimCane,Avalon-TrimCane,oyster,Oyster,,1.35,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1c,,,,0.863,2.893,2.583,404.151,611.631,,,3,0.930287037,0.028317612,-0.400384121,30.49724001,0.128814929,0.574497012,0.014163907,0.02201784,0.11943373,0.044886157,0.090131324,31.8,5.15,24.1,40.1,8,3.342570379,1.127519588,1.681831772,5.041241297,1.679704763
+2.5CARDIID,N,Malvern,Malvern,Cardiidae ,Clam,,2.5,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,,,,4.068,0.652,143.217,24.951,639.92,,,3,-0.128735413,0.048664667,-3.365555982,27.44041468,0.041859171,0.56987207,0.011704497,0.02201784,0.281320302,0.042149009,0.090131324,33.5,4.35,25.7,41.9,8.1,0.694242272,0.875569644,-0.880948519,2.305056815,1.593002667
MAL-MS-0-bivY,N,Malvern,Malvern,Bivalvia,Indet. Bivalvia,,-0.5,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,1.207,1.813,21.794,1138.895,647.325,,,3,-0.134102762,0.03858168,-0.287160645,30.61396322,0.05695422,0.600536976,0.006324117,0.02201784,0.279749012,0.021888759,0.090131324,22.8,2.1,15.7,30.3,7.3,0.879481224,0.484404881,-0.66098042,2.430522799,1.54575161
ESP-top-exo-2,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.25,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.19,1.466,4.277,65.095,655.05,,,3,1.569855344,0.038356842,-1.700136248,29.15731254,0.024345855,0.581649985,0.011066206,0.02201784,0.187317174,0.032177938,0.090131324,29.2,3.9,21.7,37.3,7.8,1.528615553,0.794190453,-0.01306924,3.111826732,1.562447986
BRAGPECTAMNH3571,N,Braggs,NA,Pecten,Scallop,,0,,32.006,-86.751,,,,,,,,,,,0.758725153,1.260134885,7.2158006,51.2862243,687.2968519,,,4,1.259048223,0.05286257,-1.483330013,29.38082026,0.022618746,0.607338884,0.008987556,0.019068008,0.232832125,0.011107298,0.078056016,20.5,2.9,14.5,26.9,6.2,-0.022149061,0.628379086,-1.323960781,1.310321733,1.317141257
TCC-BU,N,TrimCane,Avalon-TrimCane,Gryphaeostrea vomer,Oyster,,,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,,0,1,GOOD,2.242458301,2.479996439,246.796982,1822.713516,713.205394,,,3,2.592279981,0.013470601,-1.544307872,29.31795757,0.020874006,0.570873952,0.016605096,0.02201784,0.256452054,0.035208206,0.090131324,33.1,6.1,25.3,41.5,8.1,2.445922804,1.196299587,0.884387636,4.043072429,1.579342396
BRAGGSB2ANOMIARED,N,Braggs,NA,Anomia,Clam,,0,,32.006,-86.751,,,,,,,,,,,0.48520821,1.461374387,5.444807646,300.4689842,724.6376944,,,5,0.641423031,0.029394981,-1.801369068,29.05295061,0.028127149,0.595854395,0.009459315,0.017054945,0.263595142,0.023790738,0.069815423,24.3,3.2,18.7,30.2,5.75,0.443782843,0.679810707,-0.746451609,1.651313731,1.19888267
AVA-1.1OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,-1.1,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,0.566757385,3.144436161,7.162002709,440.8182593,784.0281947,,,4,1.465940835,0.020050895,-2.131000271,28.71313051,0.029243055,0.586072905,0.012289171,0.019068008,0.166773772,0.049866474,0.078056016,27.7,4.25,21.2,34.5,6.65,0.798754313,0.875896927,-0.553250533,2.153817556,1.353534044
ESP-grey-oyster,N,EllisSandPit,EllisSandPit,oyster,Oyster,,-0.7,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,1.414,0.919,8.723,74.118,784.097,,,3,1.636045533,0.035955796,-1.362909548,29.50496292,0.042389183,0.614606256,0.007725062,0.02201784,0.249843741,0.066004436,0.090131324,18.2,2.45,11.5,25.4,6.95,-0.386188789,0.561385208,-1.882278311,1.148005969,1.51514214
Mal-MS-75-Nuculid,N,Malvern,Malvern,Nuculana,Clam,,-7.5,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,3.112,0.29,42.996,23.062,817.064,,,3,-1.654668047,0.233411797,-3.665723543,27.13096894,0.075228819,0.569140208,0.013020136,0.02201784,0.225932167,0.021834469,0.090131324,33.7,4.85,25.9,42.2,8.15,0.431190512,1.002612236,-1.174027361,2.090301281,1.632164321
ESP_DAN_MID_OY_2,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0.55,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.003,2.33,4.73,97.804,869.684,,,4,2.36299692,0.063451794,-1.207771007,29.66489679,0.02417589,0.596531262,0.010916461,0.019068008,0.235612075,0.035423964,0.078056016,24.1,3.65,17.9,30.7,6.4,0.99789049,0.769160427,-0.318141529,2.341132281,1.329636905
ESP+0.48_OY,N,EllisSandPit,EllisSandPit,oyster,Oyster,,-0.22,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,1.399,1.22,4.832,48.845,994.992,,,3,1.810262143,0.011635648,-2.021299371,28.82622226,0.045369583,0.596681724,0.019079374,0.02201784,0.174154829,0.049086023,0.090131324,24,6.45,16.9,31.7,7.4,0.162149478,1.361956689,-1.366299006,1.74033119,1.553315098
AVA-2OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,-2,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,1.257,2.758,6.227,458.303,1030.064,,,3,1.253770566,0.005870177,-1.944917817,28.90496477,0.222157863,0.591125748,0.001252061,0.02201784,0.233306008,0.025958462,0.090131324,25.9,0.45,18.7,33.8,7.55,0.624369296,0.306832091,-1.078573097,2.394643448,1.736608272
OYSTERPBCAVALON,N,Avalon,Avalon-TrimCane,oyster,Oyster,,,,33.455113,-88.849669,3525,,,,,,,0,0,GOOD,1.257,2.758,6.227,458.303,1030.064,,,3,2.724098664,0.028143435,-1.453261591,29.41181809,0.117919292,0.587616063,0.00200281,0.02201784,0.258708745,0.066904527,0.090131324,27.1,0.7,19.8,35.1,7.65,1.358552365,0.254896566,-0.253274876,3.035245211,1.644260043
AMNH3483OYSTER,N,PBLandfill,NA,oyster,Oyster,,,,33.967222,-89.000833,3483,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris-D. minardi?,CC25b?,UC20aTP?,,,,1.364,2.991,5.418,261.933,2054.536,,,3,-3.972063283,0.026069628,-1.042365659,29.83541482,0.035711248,0.600172415,0.006268892,0.02201784,0.214171895,0.031304146,0.090131324,22.9,2.1,15.8,30.5,7.35,0.143804861,0.463170536,-1.373952342,1.691520025,1.532736184
TCC_OY_+0.5,N,TrimCane,Avalon-TrimCane,oyster,Oyster,,0.5,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1b,,,,1.061,3.737,4.987,480.377,2305.115,,,3,-0.672138264,0.039187748,-1.817180922,29.03665002,0.15181178,0.606014103,0.014999416,0.02201784,0.269548167,0.049072864,0.090131324,21,4.9,14.1,28.4,7.15,-0.252152389,1.168563789,-1.87033836,1.400490865,1.635414613
PROVSANCRAPTER1,N,ProvSands,NA,Crassatella pteropsis,Clam,,,Extreme top of exogyra costata zone,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,3.866,0.147,44.543,2.75,NA,,,3,1.575996309,0.061723848,-0.517401919,30.37660519,0.076914655,0.579552785,0.010810884,0.02201784,0.276149621,0.031234335,0.090131324,30,3.85,22.4,38.1,7.85,2.872983472,0.832483926,1.265615712,4.501406044,1.617895166
ESP+0.4_OYSTER,N,EllisSandPit,EllisSandPit,oyster,Oyster,,-0.24,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,1,GOOD,,,,,,,,3,1.832349798,0.046465822,-2.992957488,27.8245302,0.027895587,0.57760258,0.01471426,0.02201784,0.241882589,0.027573824,0.090131324,30.7,5.3,23.1,38.9,7.9,0.526110954,1.063025833,-1.022914753,2.11463268,1.568773716
Mal-MS-35-OysterY,N,Malvern,Malvern,oyster,Oyster,,-3.5,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,,,,,,,,3,-0.272210622,0.651482859,-2.707212224,28.11910785,0.094021343,0.590322233,0.005520982,0.02201784,0.197239774,0.026167132,0.090131324,26.2,1.9,18.9,34.1,7.6,-0.079472272,0.473714593,-1.67502973,1.561832885,1.618431307
MAL-MS-55-Oy,N,Malvern,Malvern,oyster,Oyster,,-5.5,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,,,,,,,,3,-1.20618204,0.025865372,-0.655695383,30.23403707,0.036331163,0.590327184,0.003862045,0.02201784,0.243946729,0.019031691,0.090131324,26.2,1.3,18.9,34.1,7.6,1.197299352,0.29501179,-0.331607124,2.771441214,1.551524169
OC-29-14847,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,-1,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,-4.620204267,0.007883268,-1.009130791,29.86967698,0.119905452,0.582404389,0.009663232,0.02201784,0.193392378,0.012935913,0.090131324,29,3.4,21.5,37,7.75,1.397336387,0.78348767,-0.226307211,3.043786559,1.635046885
OC-31-14830,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,0.5,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,2.341149229,0.073328506,-0.035208902,30.87370279,0.162165613,0.595120725,0.005565486,0.02201784,0.254789254,0.03025323,0.090131324,24.6,1.9,17.4,32.3,7.45,1.497440024,0.541325606,-0.149073892,3.17243052,1.660752206
OC-36-15890,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,4.5,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,1.695278984,0.021511047,-0.272646146,30.62892636,0.084107475,0.590456075,0.007155775,0.02201784,0.239238323,0.024085497,0.090131324,26.2,2.45,18.9,34,7.55,1.581058842,0.571389767,0.00521936,3.183284814,1.589032727
OC-37-14836,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,5.2,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,2.993647607,0.104565235,-0.111388393,30.79516859,0.09202115,0.613622593,0.011761678,0.02201784,0.332250998,0.022066826,0.090131324,18.5,3.7,11.8,25.8,7,0.164165848,0.86729052,-1.365680359,1.751981021,1.55883069
OC-38-14854,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,5.8,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,1.772204538,0.057527039,-0.364318472,30.53442044,0.110869771,0.596108613,0.001933474,0.02201784,0.298664256,0.021619015,0.090131324,24.2,0.65,17.1,31.9,7.4,1.086954223,0.239290386,-0.492014143,2.715439499,1.603726821
OC-39-15891,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,6.2,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,3.028506527,0.031892326,-0.142882655,30.76270084,0.064792498,0.586046863,0.010875264,0.02201784,0.256917467,0.012009442,0.090131324,27.7,3.75,20.3,35.7,7.7,2.009420219,0.805377873,0.445941298,3.616213397,1.585136049
OC-40-14797,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,5.8,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,3.085227381,0.062368036,-0.205837301,30.69780027,0.140134248,0.599088387,0.002399353,0.02201784,0.270818842,0.025400042,0.090131324,23.2,0.8,16.2,30.9,7.35,1.042527451,0.299145612,-0.553443228,2.709546953,1.631495091
OC-43-15893,N,OwlCreek,OwlCreek,Aphrodina tippana,Clam,,0.2,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,,,,,,,,3,1.223505575,0.002578932,-0.493930716,30.40080189,0.034689559,0.602016773,0.002065891,0.02201784,0.210314389,0.021731134,0.090131324,22.3,0.7,15.3,29.8,7.25,0.570162955,0.177150744,-0.931857065,2.104090405,1.517973735
OC-turA,N,OwlCreek,OwlCreek,Turitella sp.,Gastropod,Aragonite,-1.5,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,,,,,,,,3,-2.325020673,0.020503558,-0.812211738,30.0726828,0.096059685,0.605277819,0.004175676,0.02201784,0.245883037,0.02496898,0.090131324,21.2,1.4,14.3,28.7,7.2,0.025353665,0.382184215,-1.524852362,1.629222988,1.577037675
OC-turB,N,OwlCreek,OwlCreek,Turitella sp.,Gastropod,Aragonite,-1.5,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,,,,,,,,4,-1.827840535,0.056036459,-0.582564242,30.3094287,0.095197122,0.596913273,0.001596809,0.019068008,0.220947448,0.007174117,0.078056016,24,0.55,17.8,30.6,6.4,0.827885355,0.203938368,-0.546935992,2.229850597,1.388393295
OWLCR1,N,OwlCreek,OwlCreek,Crassatella,Clam,Aragonite,5.7,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,,,,,,,,3,-3.83947159,0.039929334,-1.390113844,29.47691774,0.036012829,0.598799001,0.011009077,0.02201784,0.237160822,0.009336948,0.090131324,23.3,3.7,16.3,31,7.35,-0.122878325,0.787771804,-1.615176925,1.440060507,1.527618716
OWLCR3,N,OwlCreek,OwlCreek,Crassatella,Clam,,5.4,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,,,,,,,,4,0.63986286,0.085551677,-0.428746722,30.46800072,0.071138659,0.582065482,0.005504776,0.019068008,0.18730254,0.00959916,0.078056016,29.1,1.9,22.6,36,6.7,1.998735947,0.441797979,0.62776135,3.391838955,1.382038802
OWLCR5,N,OwlCreek,OwlCreek,Exogyra ,Oyster,Calcite,5.4,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,,,,,,,,3,0.290469793,0.10750941,-1.399859473,29.46687087,0.04214831,0.60966872,0.001221649,0.02201784,0.232219013,0.042686649,0.090131324,19.8,0.4,12.9,27.1,7.1,-0.852875147,0.124173533,-2.363632584,0.671859094,1.517745839
OWLCR6,N,OwlCreek,OwlCreek,Crassatella,Clam,,4,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,,,,,,,,3,1.081449001,0.012262133,-0.893360589,29.98902564,0.033249342,0.597631119,0.005247077,0.02201784,0.226739523,0.012413429,0.090131324,23.7,1.75,16.6,31.4,7.4,0.455810685,0.387553658,-1.051949914,2.012879829,1.532414872
PROSAN-ANO-ARGB,N,ProvSands,NA,Anomia argentaria,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,,,,,,,,3,1.298183823,0.099615914,-1.237108692,29.63465228,0.052787049,0.614531162,0.000553181,0.02201784,0.278717333,0.008840313,0.090131324,18.2,0.15,11.5,25.5,7,-1.024928481,0.082778579,-2.518042751,0.526025172,1.522033961
PROSAN-ANO-ARGC,N,ProvSands,NA,Anomia argentaria,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,,,,,,,,5,1.183859289,0.040231582,-0.94146878,29.93943042,0.013858897,0.56670537,0.015225198,0.017054945,0.164321268,0.09873567,0.069815423,34.6,5.7,28.5,41.2,6.35,3.33904229,1.102587598,2.137562228,4.587491688,1.22496473
PROSANANOARGD,N,ProvSands,NA,Anomia argentaria,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,,,,,,,,3,1.082451211,0.314199819,-1.026358937,29.85191631,0.042478567,0.615332143,0.009767297,0.02201784,0.259625644,0.030178457,0.090131324,18,3.1,11.3,25.2,6.95,-0.091816288,0.700614693,-1.590441435,1.444932568,1.517687001
PROSAN-ANO-ARGE,N,ProvSands,NA,Anomia argentaria,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,,,,,,,,5,1.491131106,0.087951409,-1.679529785,29.17855595,0.026377002,0.598538718,0.012089797,0.017054945,0.066203433,0.081769238,0.069815423,23.4,4,17.9,29.3,5.7,0.381847751,0.846179017,-0.79246866,1.594705402,1.193587031
PROSANCORSP1A,N,ProvSands,NA,Corbula sp.,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,,,,,,,,4,1.388533209,0.077606465,-0.994775231,29.88447627,0.033058986,0.604020144,0.009081505,0.019068008,0.254396929,0.050577413,0.078056016,21.6,2.95,15.6,28.1,6.25,0.696395897,0.644829544,-0.606837473,2.050212586,1.328525029
