Sample,Removed,Site,Site_grp,Taxa,Taxa_grp,Mineralogy,meter,Strat_height_other,lat,lng,AMNH_loc,Series,Stage,Formation,Biozone_macro,Biozone_nano,Biozone_foram,Dissolution,Secondary_growth,SEM_score,ppm Sr in powder (mg/g),ppt Mg in powder (mg/g),ppm Ba in powder (ug/g),ppm Mn in powder (ug/g),ppm Fe in powder (ug/g),Trace_score,Removed,Nreps_good,d13C_PDB,sd13,d18O_PDB,d18O_SMOW,sd18,D47_CDES90adj,intse47adj,lt95ci47,D48_CDES90adj,intse48adj,lt95ci48,Temp,intseT,Tmin,Tmax,lt95ciT,dw,intsedw,dwmin,dwmax,lt95cidw
ESP-bottom-exo-1,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-1,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.225,1.219,3.611,57.484,124.675,,,3,2.931116534,0.029138251,-0.71335652,30.17459363,0.075364311,0.593111557,0.007075855,0.02201784,0.205142213,0.040231264,0.090131324,25.3,2.4,18,33,7.5,1.73767493,0.559964481,0.148305907,3.334297199,1.592995646
ESP_DAN_MID_1_OY,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0.55,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.301,1.36,4.762,20.821,127.9,,,4,2.251753264,0.083491482,-1.441239753,29.42421153,0.042307852,0.577652569,0.00363068,0.019068008,0.136207662,0.028880335,0.078056016,30.6,1.3,24,37.7,6.85,2.063729871,0.295754571,0.702349077,3.464461242,1.381056083
PROVSANCRAPTE2,N,ProvSands,NA,Crassatella pteropsis,Clam,,,Extreme top of exogyra costata zone,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,4.076,0.214,30.011,5.336,135.196,,,3,-0.249291088,0.007120472,-0.724916806,30.16267602,0.017396082,0.597079811,0.006645976,0.02201784,0.18924138,0.033068095,0.090131324,23.9,2.25,16.8,31.6,7.4,0.665061818,0.473148129,-0.82562266,2.204999847,1.515311254
BRAZOS-0.2,N,Brazos,Brazos,oyster,Oyster,,-0.2,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,0,0,GOOD,1.322,1.025,17.693,64.202,138.3,,,4,0.719292481,0.019286256,-1.955600907,28.89395147,0.014152514,0.596772567,0.010890776,0.019068008,0.236530365,0.025956431,0.078056016,24,3.65,17.8,30.6,6.4,0.227991683,0.75934405,-1.078192309,1.561339657,1.319765983
PROSANCRASP,N,ProvSands,NA,Crassatella sp.,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,3.777,0.196,55.037,14.994,146.141,,,3,-1.419050261,0.00461371,-0.590163556,30.30159449,0.021996589,0.593910149,0.003310519,0.02201784,0.221290734,0.038012421,0.090131324,25,1.1,17.8,32.7,7.45,1.022277882,0.242854202,-0.483521441,2.556150967,1.519836204
ESP_DAN_HIGH_OY_2,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0.85,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.118,1.525,3.914,23.321,155.993,,,3,2.28960379,0.033466777,-1.830082987,29.02334915,0.012521941,0.582167522,0.012801313,0.02201784,0.217935377,0.050699068,0.090131324,29,4.55,21.6,37.1,7.75,1.358721756,0.912188818,-0.152492968,2.932183001,1.542337985
TCC_PUL_+1.37,N,TrimCane,Avalon-TrimCane,Ostrea pulaskensis,Oyster,,1.37,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1c,,,,1.141,2.175,3.406,96.048,175.534,,,3,3.15658408,0.04440499,-0.840143048,30.04388813,0.236315349,0.607556023,0.017442681,0.02201784,0.245865447,0.068611171,0.090131324,20.5,5.65,13.6,27.9,7.15,0.621979114,1.412071359,-1.084519855,2.363211794,1.723865825
OC-32-14813,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,1.4,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,2.412,0.194,7.475,17.879,176.406,,,3,1.476611788,0.035574807,-0.812249183,30.07264419,0.027579059,0.609729707,0.003301462,0.02201784,0.167010405,0.023891635,0.090131324,19.8,1.05,12.9,27.1,7.1,-0.264942993,0.245472418,-1.76244602,1.24650319,1.504474605
-0.05ANNOMIA,N,Malvern,Malvern,Anomia,Clam,,-0.05,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,1.304,1.343,67.598,957.615,182.258,,,3,1.546674304,0.010664904,-1.720265629,29.13656096,0.081688538,0.599591684,0.00453335,0.02201784,0.10354777,0.035272986,0.090131324,23.1,1.5,16,30.7,7.35,0.279439893,0.387647143,-1.293560202,1.882813887,1.588187045
ESP+0.3_EXO,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.4,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.297,0.991,3.423,19.456,189.934,,,3,2.690242043,0.025162183,-0.523478446,30.37034084,0.035729098,0.579873256,0.016401859,0.02201784,0.211500749,0.033850678,0.090131324,29.9,5.85,22.3,38,7.85,2.84720462,1.186926842,1.278878077,4.436451104,1.578786514
PROSANCRAPTE3,N,ProvSands,NA,Crassatella pteropsis,Clam,,,Extreme top of exogyra costata zone,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,4.067,0.189,29.998,4.737,193.023,,,3,-0.561090519,0.008517907,-1.180955984,29.69254067,0.024993445,0.587305373,0.008063218,0.02201784,0.237064054,0.0434199,0.090131324,27.2,2.8,19.9,35.2,7.65,0.870084082,0.579793006,-0.637295317,2.441446585,1.539370951
AVA-3.9EXO,N,Avalon,Avalon-TrimCane,oyster,Oyster,,-3.9,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,,,,,,,0.815693331,1.282144326,19.62818631,591.4100913,204.3777784,,,3,2.109294024,0.008268937,-2.489434449,28.34361713,0.023885693,0.564176942,0.005862228,0.02201784,0.202296846,0.037446471,0.090131324,35.6,2.2,27.6,44.2,8.3,1.974554829,0.44022119,0.396095212,3.584763168,1.594333978
AVA-1.2OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,-1.2,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,,,,1.813720509,0.14088225,30.55708039,10.828226,204.4489132,,,4,2.113402675,0.049505131,-1.974226849,28.8747498,0.037723971,0.574513233,0.012072783,0.019068008,0.200645066,0.033790611,0.078056016,31.8,4.4,25.1,38.9,6.9,1.76283447,0.891483525,0.396501373,3.148136685,1.375817656
