Type,Study,Site,Sample,Depth,Depth type,Age (Ma),Age Frame,"Age (Ma, relative to KPg)",Sample Type,Species,d18O,Temperature (C),Delta_Temperature
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-5,76-78",249.67,mbsf,66.1899,GTS 2012,-0.1499,Planktonic,Globigerinelloides multispinatus,-0.02,11.71,1.33
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-5,110-113",250.33,mbsf,66.2425,GTS 2012,-0.2025,Planktonic,Globigerinelloides multispinatus,-0.09,12.02,1.64
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-6,5-7",250.47,mbsf,66.2537,GTS 2012,-0.2137,Planktonic,Globigerinelloides multispinatus,-0.09,12.02,1.64
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-6,5-7",250.47,mbsf,66.2537,GTS 2012,-0.2137,Planktonic,Globigerinelloides multispinatus,-0.19,12.46,2.09
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-6,24-27",250.67,mbsf,66.2696,GTS 2012,-0.2296,Planktonic,Globigerinelloides multispinatus,-0.01,11.66,1.29
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-6,45-49",250.87,mbsf,66.2856,GTS 2012,-0.2456,Planktonic,Globigerinelloides multispinatus,-0.07,11.93,1.55
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-6,96-98",251.37,mbsf,66.3254,GTS 2012,-0.2854,Planktonic,Globigerinelloides multispinatus,0.36,10.02,-0.35
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-15X-7,6-8",251.97,mbsf,66.3733,GTS 2012,-0.3333,Planktonic,Globigerinelloides multispinatus,0.39,9.89,-0.49
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-16X-2,40-42",254.41,mbsf,66.699,GTS 2012,-0.659,Planktonic,Globigerinelloides multispinatus,0.34,10.11,-0.27
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-16X-2,114-116",255.16,mbsf,66.805,GTS 2012,-0.765,Planktonic,Globigerinelloides multispinatus,0.39,9.89,-0.49
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-16X-3,40-42",255.91,mbsf,66.911,GTS 2012,-0.871,Planktonic,Globigerinelloides multispinatus,0.33,10.15,-0.22
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-16X-4,39-41",257.4,mbsf,67.1215,GTS 2012,-1.0815,Planktonic,Globigerinelloides multispinatus,0.49,9.44,-0.93
d18O_foram,Stott and Kennett (1990),ODP 690,113-690C-16X-CC,258,mbsf,67.2063,GTS 2012,-1.1663,Planktonic,Globigerinelloides multispinatus,0.52,9.31,-1.06
d18O_foram,Stott and Kennett (1990),ODP 690,113-690C-16X-CC,261.8,mbsf,67.7433,GTS 2012,-1.7033,Planktonic,Globigerinelloides multispinatus,0.26,10.46,0.09
d18O_foram,Stott and Kennett (1990),ODP 690,113-690C-16X-CC,261.8,mbsf,67.7433,GTS 2012,-1.7033,Planktonic,Globigerinelloides multispinatus,0.52,9.31,-1.06
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-17X-1,119-123",263.01,mbsf,67.9143,GTS 2012,-1.8743,Planktonic,Globigerinelloides multispinatus,0.47,9.53,-0.84
d18O_foram,Stott and Kennett (1990),ODP 690,"113-690C-17X-3,119-123",265.01,mbsf,68.1969,GTS 2012,-2.1569,Planktonic,Globigerinelloides multispinatus,0.34,10.11,-0.27
d18O_foram,Stott and Kennett (1990),ODP 690,113-690C-17X-CC,266.6,mbsf,68.4216,GTS 2012,-2.3816,Planktonic,Globigerinelloides multispinatus,0.35,10.06,-0.31
d18O_foram,,,,,,,,,,,,,
d18O_foram,Wilf et al. (2003),ODP 690 ,"690C-15x-4, 73-75 ",248.13,mbsf,66.0671,GTS 2012,-0.0271,Planktonic,Globigerinelloides  prairiehillensis,-0.01,11.66,0
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15-4x, 84-86 ",248.24,mbsf,66.0759,GTS 2012,-0.0359,Planktonic,Globigerinelloides  prairiehillensis,0.05,11.39,-0.27
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-4, 106-108 ",248.46,mbsf,66.0934,GTS 2012,-0.0534,Planktonic,Globigerinelloides  prairiehillensis,0.13,11.04,-0.62
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-4, 128-130 ",248.68,mbsf,66.111,GTS 2012,-0.071,Planktonic,Globigerinelloides  prairiehillensis,-0.2,12.51,0.85
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 25-28 ",249.15,mbsf,66.1484,GTS 2012,-0.1084,Planktonic,Globigerinelloides  prairiehillensis,-0.2,12.51,0.85
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 42-44 ",249.32,mbsf,66.162,GTS 2012,-0.122,Planktonic,Globigerinelloides  prairiehillensis,-0.05,11.84,0.18
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 76-78 ",249.66,mbsf,66.1891,GTS 2012,-0.1491,Planktonic,Globigerinelloides  prairiehillensis,-0.46,13.67,2.01
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15X-6, 24-27 ",250.66,mbsf,66.2688,GTS 2012,-0.2288,Planktonic,Globigerinelloides  prairiehillensis,-0.35,13.18,1.52
