Type,Study,Site,Sample,Depth,Depth type,Age (Ma),Age Frame,"Age (Ma, relative to KPg)",Sample Type,Species,d18O,Temperature (C),Delta_Temperature
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.88,m depth,66.3081,GTS 2012,-0.2681,Planktonic,Rugoglobigerina rugosa,-1.98,20.54,0.68
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.18,m depth,66.3548,GTS 2012,-0.3148,Planktonic,Rugoglobigerina rugosa,-2.22,21.64,1.78
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.18,m depth,66.3548,GTS 2012,-0.3148,Planktonic,Rugoglobigerina rugosa,-2.22,21.64,1.78
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.49,m depth,66.4014,GTS 2012,-0.3614,Planktonic,Rugoglobigerina rugosa,-1.99,20.59,0.73
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.49,m depth,66.4014,GTS 2012,-0.3614,Planktonic,Rugoglobigerina rugosa,-1.99,20.59,0.73
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.79,m depth,66.448,GTS 2012,-0.408,Planktonic,Rugoglobigerina rugosa,-1.79,19.68,-0.18
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.79,m depth,66.448,GTS 2012,-0.408,Planktonic,Rugoglobigerina rugosa,-1.79,19.68,-0.18
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,387.4,m depth,66.558,GTS 2012,-0.518,Planktonic,Rugoglobigerina rugosa,-2.18,21.46,1.6
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,387.4,m depth,66.558,GTS 2012,-0.518,Planktonic,Rugoglobigerina rugosa,-2.18,21.46,1.6
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.17,m depth,66.0475,GTS 2012,-0.0075,Benthic,Anomalinoides midwayensis,-1.17,15.53,0.06
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.17,m depth,66.0475,GTS 2012,-0.0075,Benthic,Anomalinoides midwayensis,-1.42,16.64,1.17
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.2,m depth,66.0521,GTS 2012,-0.0121,Benthic,Anomalinoides midwayensis,-1.08,15.08,-0.38
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.22,m depth,66.0549,GTS 2012,-0.0149,Benthic,Anomalinoides midwayensis,-1.22,15.73,0.27
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.24,m depth,66.0582,GTS 2012,-0.0182,Benthic,Anomalinoides midwayensis,-1.16,15.46,0
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.26,m depth,66.0615,GTS 2012,-0.0215,Benthic,Anomalinoides midwayensis,-1.18,15.55,0.09
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.28,m depth,66.0642,GTS 2012,-0.0242,Benthic,Anomalinoides midwayensis,-1.18,15.56,0.09
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.37,m depth,66.0782,GTS 2012,-0.0382,Benthic,Anomalinoides midwayensis,-1.26,15.91,0.45
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.51,m depth,66.0983,GTS 2012,-0.0583,Benthic,Anomalinoides midwayensis,-1.22,15.73,0.27
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.51,m depth,66.0983,GTS 2012,-0.0583,Benthic,Anomalinoides midwayensis,-1.22,15.73,0.27
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.66,m depth,66.1216,GTS 2012,-0.0816,Benthic,Anomalinoides midwayensis,-1.21,15.7,0.23
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.66,m depth,66.1216,GTS 2012,-0.0816,Benthic,Anomalinoides midwayensis,-1.21,15.7,0.23
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.96,m depth,66.1682,GTS 2012,-0.1282,Benthic,Anomalinoides midwayensis,-1.35,16.31,0.84
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,384.96,m depth,66.1682,GTS 2012,-0.1282,Benthic,Anomalinoides midwayensis,-1.35,16.31,0.84
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.11,m depth,66.1916,GTS 2012,-0.1516,Benthic,Anomalinoides midwayensis,-1.32,16.19,0.73
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.11,m depth,66.1916,GTS 2012,-0.1516,Benthic,Anomalinoides midwayensis,-1.32,16.19,0.73
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.27,m depth,66.2149,GTS 2012,-0.1749,Benthic,Anomalinoides midwayensis,-1.42,16.62,1.15
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.27,m depth,66.2149,GTS 2012,-0.1749,Benthic,Anomalinoides midwayensis,-1.42,16.62,1.15
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.6,m depth,66.1133,GTS 2012,-0.0733,Benthic,Anomalinoides midwayensis,-1.39,16.49,1.03
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,385.88,m depth,66.3081,GTS 2012,-0.2681,Benthic,Anomalinoides midwayensis,-1.21,15.7,0.23
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.18,m depth,66.3548,GTS 2012,-0.3148,Benthic,Anomalinoides midwayensis,-1.19,15.6,0.14
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.49,m depth,66.4014,GTS 2012,-0.3614,Benthic,Anomalinoides midwayensis,-1.31,16.14,0.67
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,386.79,m depth,66.448,GTS 2012,-0.408,Benthic,Anomalinoides midwayensis,-1.08,15.08,-0.38
d18O_foram,Esmeray-Senlet et al. (2015)/Olsson et al. (2001),"ODP 174AX, Bass River",n/a,387.4,m depth,66.558,GTS 2012,-0.518,Benthic,Anomalinoides midwayensis,-1.08,15.1,-0.36
d18O_foram,,,,,,,,,,,,,
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-4,89-91",109.9,mcd adj,65.2539,GTS 2012,0.7861,Benthic,Aragonia sp. ,0.05,11.39,-0.04
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,59-61",111.1,mcd adj,65.732,GTS 2012,0.308,Benthic,Aragonia sp. ,0.48,9.49,-1.95
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,79-81",111.3,mcd adj,65.82,GTS 2012,0.22,Benthic,Aragonia sp. ,0.39,9.89,-1.55
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,108-109",111.59,mcd adj,65.9476,GTS 2012,0.0924,Benthic,Aragonia sp. ,0.45,9.62,-1.82
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,117-119",111.68,mcd adj,65.9872,GTS 2012,0.0528,Benthic,Aragonia sp. ,0.2,10.73,-0.71
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,125-126",111.76,mcd adj,66.0224,GTS 2012,0.0176,Benthic,Aragonia sp. ,0.15,10.95,-0.49
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-5,131-132",111.82,mcd adj,66.0421,GTS 2012,-0.0021,Benthic,Aragonia sp. ,0.04,11.44,0
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-6,19-21",112.2,mcd adj,66.0827,GTS 2012,-0.0427,Benthic,Aragonia sp. ,0.31,10.24,-1.2
d18O_foram,Zachos et al. (1985) ,DSDP 577,"86-577-12H-6,59-61",112.6,mcd adj,66.1255,GTS 2012,-0.0855,Benthic,Aragonia sp. ,-0.33,13.09,1.65
d18O_foram,,,,,,,,,,,,,
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,3-5",106.14,mbsf,65.6873,GTS 2012,0.3527,Benthic,Stensioina beccariiformis,-0.08,10.64,0.22
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,22-24",106.33,mbsf,65.6884,GTS 2012,0.3516,Benthic,Stensioina beccariiformis,0.09,9.89,-0.53
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,30-32",106.41,mbsf,65.6888,GTS 2012,0.3512,Benthic,Stensioina beccariiformis,-0.13,10.86,0.44
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,42-44",106.53,mbsf,65.6895,GTS 2012,0.3505,Benthic,Stensioina beccariiformis,-0.18,11.08,0.66
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,82-84",106.93,mbsf,65.6916,GTS 2012,0.3484,Benthic,Stensioina beccariiformis,0.22,9.31,-1.11
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,90-92",107.01,mbsf,65.6921,GTS 2012,0.3479,Benthic,Stensioina beccariiformis,-0.03,10.42,0
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,32-34",107.93,mbsf,65.6971,GTS 2012,0.3429,Benthic,Stensioina beccariiformis,-0.11,10.77,0.35
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,40-42",108.01,mbsf,65.6975,GTS 2012,0.3425,Benthic,Stensioina beccariiformis,-0.05,10.51,0.09
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,52-54",108.13,mbsf,65.6982,GTS 2012,0.3418,Benthic,Stensioina beccariiformis,0.09,9.89,-0.53
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,60-62",108.21,mbsf,65.6986,GTS 2012,0.3414,Benthic,Stensioina beccariiformis,-0.01,10.33,-0.09
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,72-74",108.33,mbsf,65.6993,GTS 2012,0.3407,Benthic,Stensioina beccariiformis,0.19,9.44,-0.98
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,80-82",108.41,mbsf,65.6997,GTS 2012,0.3403,Benthic,Stensioina beccariiformis,0.08,9.93,-0.49
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,92-94",108.53,mbsf,65.7004,GTS 2012,0.3396,Benthic,Stensioina beccariiformis,-0.1,10.73,0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,112-114",108.73,mbsf,65.7015,GTS 2012,0.3385,Benthic,Stensioina beccariiformis,-0.09,10.68,0.26
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,132-134",108.93,mbsf,65.7025,GTS 2012,0.3375,Benthic,Stensioina beccariiformis,0.31,8.92,-1.51
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,140-142",109.01,mbsf,65.703,GTS 2012,0.337,Benthic,Stensioina beccariiformis,0.04,10.11,-0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,102-104",110.13,mbsf,65.7091,GTS 2012,0.3309,Benthic,Stensioina beccariiformis,0.26,9.14,-1.29
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,122-124",110.33,mbsf,65.7102,GTS 2012,0.3298,Benthic,Stensioina beccariiformis,0.27,9.09,-1.33
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,12-14",110.73,mbsf,65.7124,GTS 2012,0.3276,Benthic,Stensioina beccariiformis,-0.1,10.73,0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,72-74",111.33,mbsf,65.7156,GTS 2012,0.3244,Benthic,Stensioina beccariiformis,-0.06,10.55,0.13
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,100-102",111.61,mbsf,65.7172,GTS 2012,0.3228,Benthic,Stensioina beccariiformis,0.07,9.98,-0.45
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,132-134",111.93,mbsf,65.7189,GTS 2012,0.3211,Benthic,Stensioina beccariiformis,-0.14,10.91,0.48
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,0-2",112.11,mbsf,65.7199,GTS 2012,0.3201,Benthic,Stensioina beccariiformis,0.02,10.2,-0.22
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,40-42",112.5,mbsf,65.8391,GTS 2012,0.2009,Benthic,Stensioina beccariiformis,0.12,9.75,-0.67
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,50-52",112.6,mbsf,65.8713,GTS 2012,0.1687,Benthic,Stensioina beccariiformis,-0.02,10.37,-0.05
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,57-58",112.66,mbsf,65.8906,GTS 2012,0.1494,Benthic,Stensioina beccariiformis,0.14,9.67,-0.76
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,77-78",112.88,mbsf,65.9614,GTS 2012,0.0786,Benthic,Stensioina beccariiformis,-0.09,10.68,0.26
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,140-142",113.5,mbsf,66.1544,GTS 2012,-0.1144,Benthic,Stensioina beccariiformis,0.34,8.78,-1.64
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,148-150",113.58,mbsf,66.1727,GTS 2012,-0.1327,Benthic,Stensioina beccariiformis,-0.49,12.46,2.04
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,50-52",106.61,mbsf,65.6899,GTS 2012,0.3501,Benthic,Nuttallides truempyi,-0.27,11.26,0.84
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,62-64",106.73,mbsf,65.6905,GTS 2012,0.3495,Benthic,Nuttallides truempyi,-0.27,11.26,0.84
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,70-72",106.81,mbsf,65.691,GTS 2012,0.349,Benthic,Nuttallides truempyi,-0.07,10.37,-0.05
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,82-84",106.93,mbsf,65.6916,GTS 2012,0.3484,Benthic,Nuttallides truempyi,0.09,9.67,-0.76
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,90-92",107.01,mbsf,65.6921,GTS 2012,0.3479,Benthic,Nuttallides truempyi,-0.09,10.46,0.04
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,102-104",107.13,mbsf,65.6927,GTS 2012,0.3473,Benthic,Nuttallides truempyi,-0.18,10.86,0.44
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,110-112",107.21,mbsf,65.6932,GTS 2012,0.3468,Benthic,Nuttallides truempyi,-0.12,10.6,0.17
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,122-124",107.33,mbsf,65.6938,GTS 2012,0.3462,Benthic,Nuttallides truempyi,-0.13,10.64,0.22
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,130-132",107.41,mbsf,65.6943,GTS 2012,0.3457,Benthic,Nuttallides truempyi,-0.05,10.29,-0.14
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-1,142-144",107.53,mbsf,65.6949,GTS 2012,0.3451,Benthic,Nuttallides truempyi,-0.04,10.24,-0.18
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,0-2",107.61,mbsf,65.6953,GTS 2012,0.3447,Benthic,Nuttallides truempyi,0.01,10.02,-0.4
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,12-14",107.73,mbsf,65.696,GTS 2012,0.344,Benthic,Nuttallides truempyi,-0.06,10.33,-0.09
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,32-34",107.93,mbsf,65.6971,GTS 2012,0.3429,Benthic,Nuttallides truempyi,-0.22,11.04,0.62
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,72-74",108.33,mbsf,65.6993,GTS 2012,0.3407,Benthic,Nuttallides truempyi,-0.09,10.46,0.04
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-2,100-102",108.61,mbsf,65.7008,GTS 2012,0.3392,Benthic,Nuttallides truempyi,-0.27,11.26,0.84
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,2-4",109.14,mbsf,65.7037,GTS 2012,0.3363,Benthic,Nuttallides truempyi,0.58,7.51,-2.92
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,22-24",109.34,mbsf,65.7048,GTS 2012,0.3352,Benthic,Nuttallides truempyi,0.44,8.12,-2.3
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,30-32",109.42,mbsf,65.7052,GTS 2012,0.3348,Benthic,Nuttallides truempyi,0.41,8.25,-2.17
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,42-44",109.53,mbsf,65.7058,GTS 2012,0.3342,Benthic,Nuttallides truempyi,0.1,9.62,-0.8
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,50-52",109.61,mbsf,65.7063,GTS 2012,0.3337,Benthic,Nuttallides truempyi,0.07,9.75,-0.67
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,62-64",109.73,mbsf,65.7069,GTS 2012,0.3331,Benthic,Nuttallides truempyi,0.09,9.67,-0.76
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,70-72",109.81,mbsf,65.7073,GTS 2012,0.3327,Benthic,Nuttallides truempyi,-0.01,10.11,-0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,82-84",109.91,mbsf,65.7079,GTS 2012,0.3321,Benthic,Nuttallides truempyi,-0.02,10.15,-0.27
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,90-92",110.01,mbsf,65.7084,GTS 2012,0.3316,Benthic,Nuttallides truempyi,-0.07,10.37,-0.05
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,110-112",110.21,mbsf,65.7095,GTS 2012,0.3305,Benthic,Nuttallides truempyi,0.03,9.93,-0.49
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,122-124",110.33,mbsf,65.7102,GTS 2012,0.3298,Benthic,Nuttallides truempyi,-0.03,10.2,-0.22
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,130-132",110.41,mbsf,65.7106,GTS 2012,0.3294,Benthic,Nuttallides truempyi,-0.01,10.11,-0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-3,142-144",110.53,mbsf,65.7113,GTS 2012,0.3287,Benthic,Nuttallides truempyi,-0.14,10.68,0.26
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,12-14",110.73,mbsf,65.7124,GTS 2012,0.3276,Benthic,Nuttallides truempyi,0.01,10.02,-0.4
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,72-74",111.33,mbsf,65.7156,GTS 2012,0.3244,Benthic,Nuttallides truempyi,-0.04,10.24,-0.18
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-4,132-134",111.93,mbsf,65.7189,GTS 2012,0.3211,Benthic,Nuttallides truempyi,-0.01,10.11,-0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,0-2",112.11,mbsf,65.7199,GTS 2012,0.3201,Benthic,Nuttallides truempyi,-0.1,10.51,0.09
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,10-12",112.2,mbsf,65.7425,GTS 2012,0.2975,Benthic,Nuttallides truempyi,0,10.06,-0.36
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,40-42",112.5,mbsf,65.8391,GTS 2012,0.2009,Benthic,Nuttallides truempyi,0.12,9.53,-0.89
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,50-52",112.6,mbsf,65.8713,GTS 2012,0.1687,Benthic,Nuttallides truempyi,0.22,9.09,-1.33
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,57-58",112.66,mbsf,65.8906,GTS 2012,0.1494,Benthic,Nuttallides truempyi,0.03,9.93,-0.49
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,64-66",112.74,mbsf,65.9163,GTS 2012,0.1237,Benthic,Nuttallides truempyi,-0.07,10.37,-0.05
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,70-71",112.8,mbsf,65.9356,GTS 2012,0.1044,Benthic,Nuttallides truempyi,-0.1,10.51,0.09
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,77-78",112.88,mbsf,65.9614,GTS 2012,0.0786,Benthic,Nuttallides truempyi,-0.15,10.73,0.31
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,84.5-85",112.95,mbsf,65.9839,GTS 2012,0.0561,Benthic,Nuttallides truempyi,-0.21,11,0.57
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,85-87",112.97,mbsf,65.9903,GTS 2012,0.0497,Benthic,Nuttallides truempyi,0.25,8.96,-1.46
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,93-94",113.03,mbsf,66.0469,GTS 2012,-0.0069,Benthic,Nuttallides truempyi,-0.41,11.88,1.46
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,100-101",113.1,mbsf,66.0629,GTS 2012,-0.0229,Benthic,Nuttallides truempyi,-0.21,11,0.57
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,104-105",113.14,mbsf,66.072,GTS 2012,-0.032,Benthic,Nuttallides truempyi,-0.02,10.15,-0.27
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,110-111",113.2,mbsf,66.0858,GTS 2012,-0.0458,Benthic,Nuttallides truempyi,-0.31,11.44,1.02
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,140-142",113.5,mbsf,66.1544,GTS 2012,-0.1144,Benthic,Nuttallides truempyi,0.08,9.71,-0.71
d18O_foram,Quillévéré et al. (2008),ODP 1049,"171-1094C-8X-5,148-150",113.58,mbsf,66.1727,GTS 2012,-0.1327,Benthic,Nuttallides truempyi,0.31,8.69,-1.73
d18O_foram,,,,,,,,,,,,,
d18O_foram,Berggren and Norris (1997),DSDP 384,43-384-12R-CC,164.2,mbsf,64.9118,GTS 2012,1.1282,Benthic,Stensioina beccariiformis,-0.22,11.25,1.59
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-2,1",166.1,mbsf,65.2237,GTS 2012,0.8163,Benthic,Stensioina beccariiformis,-0.07,10.61,0.95
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-2,38",166.48,mbsf,65.2861,GTS 2012,0.7539,Benthic,Stensioina beccariiformis,-0.12,10.82,1.16
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-3,78",167.78,mbsf,65.4996,GTS 2012,0.5404,Benthic,Stensioina beccariiformis,0.1,9.84,0.18
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-3,78",167.78,mbsf,65.4996,GTS 2012,0.5404,Benthic,Stensioina beccariiformis,0.05,10.06,0.4
d18O_foram,Berggren and Norris (1997),DSDP 384,43-384-13R-CC,169.1,mbsf,66.4016,GTS 2012,-0.3616,Benthic,Stensioina beccariiformis,0.24,9.21,-0.45
d18O_foram,Berggren and Norris (1997),DSDP 384,43-384-12R-CC,164.2,mbsf,64.9118,GTS 2012,1.1282,Benthic,Nuttallides truempyi,-0.11,10.54,0.88
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-1,134",165.94,mbsf,65.1975,GTS 2012,0.8425,Benthic,Nuttallides truempyi,-0.05,10.3,0.64
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-3,37",167.96,mbsf,66.1547,GTS 2012,-0.1147,Benthic,Nuttallides truempyi,0.18,9.26,-0.4
d18O_foram,Berggren and Norris (1997),DSDP 384,43-384-13R-CC,169.1,mbsf,66.4016,GTS 2012,-0.3616,Benthic,Nuttallides truempyi,0.29,8.77,-0.89
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-2,109",167.19,mbsf,65.4027,GTS 2012,0.6373,Benthic,Cibicidoides spp.,-0.08,9.76,0.1
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-3,10",167.6,mbsf,65.47,GTS 2012,0.57,Benthic,Cibicidoides spp.,-0.09,9.8,0.14
d18O_foram,Berggren and Norris (1997),DSDP 384,"43-384-13R-3,62",168.22,mbsf,66.2127,GTS 2012,-0.1727,Benthic,Cibicidoides spp.,0.36,7.81,-1.85
d18O_foram,,,,,,,,,,,,,
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,11-12",451.71,mbsf,66.04,GTS 2012,0,Benthic,Anomalinoides acuta,,10.1,0
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,20-22",451.8,mbsf,66.048,GTS 2012,-0.008,Benthic,Anomalinoides acuta,,11.6,1.5
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,29-31",451.89,mbsf,66.053,GTS 2012,-0.013,Benthic,Anomalinoides acuta,,10.6,0.5
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,38-40",451.98,mbsf,66.06,GTS 2012,-0.02,Benthic,Anomalinoides acuta,,10.8,0.7
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,47-49",452.07,mbsf,66.067,GTS 2012,-0.027,Benthic,Anomalinoides acuta,,10.7,0.6
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,48-50",452.08,mbsf,66.068,GTS 2012,-0.028,Benthic,Anomalinoides acuta,,12,1.9
d18O_foram,Li and Keller (1998),DSDP 525,"74-525A-40-2,56-58",452.16,mbsf,66.073,GTS 2012,-0.033,Benthic,Anomalinoides acuta,,11.1,1
