Depth sed [m],Sample label (DSDP/ODP/IODP sample designation),A.midwayensis,Alabamina_spp.,A.wilcoxensis,Allomorphina_spp.,A.velascoensis,Ammodiscus_spp.,A.acuta,A.affinis,A.ammonoides,A.rubiginosus,Anomalinoides_spp.,A.velascoensis,A.truncata,Astacolus_spp.,Bifarina_spp.,B.delicatulus,B.draco,B.paleocenica ,B.kugleri,B.midwayensis,Bulimina_spp.,B.thanetensis,B.trinitatensis,B.velascoensis,B.beaumonti,B.grata,Buliminella_spp.,C.dayi,C.ekblomi,C.hyphalus,C.proprius,Cibicidoides_spp.,C.velascoensis,C.welleri,C.amorpha,C.amorpha ,Clavulinoides_spp.,C.trilatera,C.trilatera_juvenile,C.decurrens,C.incrassata,Coryphostoma_spp.,Coryphostomella_spp.,D.bulletta,Dorothia_spp.,Ellipsodimorphina_spp.,Eouvigerina_spp.,E.subsculptura,Fissurina_spp.,Frondicularia_spp.,F.tegulata,G.laevigata,G.pyramidata,Gaudryina_spp.,Glandulina_spp.,Globorotalites_spp.var.A,Globorotalites_spp.,G.prisca,Globulina_spp.,G.grzybowskii,Guttulina_spp.,G.acutus,G.beisseli,G.depressus,G.girardana,G.globosus,G.soldanii,Gyroidinoides_spp.,Haplophragmoides_spp.,H.lingulata,Lagena_spp.,L.rotulata,Lenticulina_spp.,Lingulina_spp.,M.oxycona,M.oxycona_juvenile,Marssonella_spp.,Neocorbina_spp.,Neoflabellina_spp.,N.havanense,N.cretacea,N.robusta,Nonionella_spp.,Nuttallides_spp.,N.truempyi,N.coronula,N.florealis,Nuttallinella_spp.,Oolina_spp.,O.plummerae,Oridorsalis_spp.,O.umbonatus,O.velascoensis,Osangularia_spp.,Palliolatella_spp.,P.cf.hillebrandti,P.hillebrandti,P.lunata,Paralabamina_spp.,Pleurostomella_spp.,P.aff.subnodosa,Polymorphinella_spp.,P.reussi,Praebulimina_spp.,P.plummerae,P.cretacea,P.jarvisi,P.rudita,Pyramidina_spp.,Pyrulina_spp.,Pyrulinoides_spp.,Q.allomorphinoides,Quadrimorphina_spp.,Quinqueloculina_spp.,Ramulina_spp.,Reophax_spp.,R.szajnochae,Rhizammina_spp.,Scheibnerova_spp.,S.cretacea,Siphogerenoides_spp.,Sitella_spp.,S.varsoviensis,S.dentata,S.spectabilis,Spiroplectammina_spp.,S.beccariiformis,S.excolata,Stilostomella_spp.,S.subspinosa,T.selmensis,Tappanina_spp.,Uvigerina_spp.,V.trilobata,V.lenticula
112.11,"171-1049C-8X-5,0-2",0,0,1,0,0,1,0,0,5,0,7,0,0,0,0,3,0,8,78,0,11,0,0,0,0,0,5,0,28,3,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,2,8,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,11,23,5,0,5,0,1,30,0,0,0,4,0,0,1,0,27,24,0,3,0,0,1,11,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,8,0,0,0,3
112.31,"171-1049C-8X-5,20-22",0,0,1,0,0,0,0,0,6,0,5,1,0,0,0,0,0,3,66,0,0,0,0,0,0,0,13,0,24,3,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,0,49,0,0,0,2,9,0,0,1,0,0,0,4,7,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,28,2,0,4,0,0,12,0,0,0,3,0,0,0,0,15,19,0,4,0,0,0,3,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,18,0,1,0,4
112.49,"171-1049C-8X-5,38-40",0,0,1,0,0,0,0,0,5,1,5,3,0,0,0,5,0,3,74,1,6,1,8,0,7,0,1,0,11,9,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,2,0,42,0,1,2,0,6,0,0,2,0,1,0,2,9,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,9,18,0,0,7,0,6,3,0,0,0,3,3,0,1,0,17,21,0,1,0,0,7,6,0,0,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,0,7,0,0,0,5
112.59,"171-1049C-8X-5,48-50",0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,1,0,5,79,0,0,5,2,0,4,0,0,0,14,4,0,5,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,50,0,0,0,0,0,3,0,3,0,2,0,3,6,1,0,0,1,1,0,2,0,3,0,0,0,0,0,1,0,13,19,0,0,6,0,11,0,0,0,0,2,2,0,0,0,9,9,0,3,0,0,4,5,0,0,2,1,1,0,2,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,5,0,1,0,0,0,0
112.675,"171-1049C-8X-5,57-58",0,0,8,0,0,0,0,0,4,0,4,2,0,1,0,1,0,4,93,0,0,0,2,0,5,0,8,0,17,3,0,12,0,0,0,1,0,0,0,0,0,6,0,1,0,1,0,0,0,0,68,0,0,0,0,8,0,0,0,0,0,0,1,11,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,9,21,0,0,3,0,1,2,0,0,0,5,1,0,0,0,18,30,1,4,0,0,3,11,0,1,1,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,0,13,0,2,0,1,0,8
112.775,"171-1049C-8X-5,67-68",0,0,6,0,0,0,0,0,5,0,5,5,0,0,0,2,0,3,90,1,3,1,3,0,7,0,1,0,14,3,0,6,1,0,0,0,0,0,0,0,0,6,0,0,1,1,1,0,0,0,60,0,0,0,0,36,0,0,1,0,1,0,0,6,1,0,0,1,0,2,4,0,2,1,0,0,0,0,0,0,3,15,0,0,0,0,8,0,0,0,0,2,3,1,0,0,17,21,1,4,0,0,2,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,9,0,2,1,1,0,2
112.8775,"171-1049C-8X-5,77.5-78",0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,2,0,2,24,0,0,0,0,0,3,0,4,0,2,3,0,6,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,2,0,11,0,3,0,0,125,0,0,3,0,1,0,4,9,3,1,0,0,0,0,5,0,3,0,5,2,0,0,0,0,0,1,0,0,1,0,4,16,1,0,0,7,14,0,0,0,34,12,0,5,0,0,3,6,0,0,0,16,0,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,8,0,5,0,0,0,0,0,3
112.9825,"171-1049C-8X-5,88-88.5",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,8,0,1,1,0,36,0,0,0,1,0,0,9,5,3,3,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,5,6,0,0,5,8,3,0,0,0,14,10,4,2,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,2
112.9925,"171-1049C-8X-5,89-89.5",0,2,0,0,0,0,6,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,13,0,7,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,6,2,0,0,5,4,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,9,0,1,0,0,0,0,1,0
113.0075,"171-1049C-8X-5,90.5-91",0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
