meter,Age (kyrs BP),Age (Ma),d13C_PDB,d18O_PDB,lat,lng
25.22,63517,63.517,1.589,-2.776,43.3,-2.26
25.35,63496,63.496,1.696,-2.658,43.3,-2.26
25.5,63472,63.472,1.709,-2.938,43.3,-2.26
25.66,63446,63.446,1.706,-2.638,43.3,-2.26
25.79,63426,63.426,1.532,-2.625,43.3,-2.26
25.89,63407,63.407,1.529,-2.773,43.3,-2.26
26,63387,63.387,1.645,-2.909,43.3,-2.26
26.12,63365,63.365,1.599,-3.072,43.3,-2.26
26.23,63345,63.345,1.64,-3.05,43.3,-2.26
26.35,63323,63.323,1.278,-2.206,43.3,-2.26
26.44,63308,63.308,1.448,-2.869,43.3,-2.26
26.55,63289,63.289,1.482,-2.687,43.3,-2.26
26.69,63265,63.265,1.48,-2.953,43.3,-2.26
26.83,63241,63.241,1.529,-2.861,43.3,-2.26
26.96,63219,63.219,1.067,-2.448,43.3,-2.26
27.08,63208,63.208,1.39,-2.923,43.3,-2.26
27.22,63194,63.194,1.521,-2.946,43.3,-2.26
27.38,63179,63.179,1.616,-2.861,43.3,-2.26
27.63,63155,63.155,1.626,-2.75,43.3,-2.26
27.84,63135,63.135,1.601,-3.068,43.3,-2.26
28.1,63114,63.114,1.528,-2.873,43.3,-2.26
28.3,63100,63.1,1.635,-2.791,43.3,-2.26
28.57,63081,63.081,1.622,-3.101,43.3,-2.26
28.91,63057,63.057,1.806,-2.623,43.3,-2.26
29.15,63040,63.04,1.7,-3.029,43.3,-2.26
29.55,63004,63.004,1.801,-3.267,43.3,-2.26
29.78,62982,62.982,1.849,-3.256,43.3,-2.26
30.15,62947,62.947,1.753,-3.061,43.3,-2.26
30.38,62927,62.927,1.761,-2.844,43.3,-2.26
30.58,62909,62.909,1.656,-3.174,43.3,-2.26
30.83,62887,62.887,1.684,-2.801,43.3,-2.26
31.07,62866,62.866,1.66,-2.642,43.3,-2.26
31.35,62842,62.842,1.564,-2.904,43.3,-2.26
31.66,62818,62.818,1.624,-2.723,43.3,-2.26
31.9,62801,62.801,1.549,-2.813,43.3,-2.26
32.18,62781,62.781,1.783,-2.862,43.3,-2.26
32.42,62764,62.764,1.636,-3.054,43.3,-2.26
32.71,62743,62.743,1.678,-2.943,43.3,-2.26
32.91,62729,62.729,1.822,-2.564,43.3,-2.26
33.12,62717,62.717,1.715,-2.579,43.3,-2.26
33.35,62703,62.703,1.804,-2.89,43.3,-2.26
33.6,62689,62.689,1.671,-3.411,43.3,-2.26
33.86,62673,62.673,1.762,-2.543,43.3,-2.26
34.1,62659,62.659,1.789,-2.904,43.3,-2.26
34.35,62640,62.64,1.719,-2.922,43.3,-2.26
34.9,62582,62.582,1.655,-2.769,43.3,-2.26
35.19,62552,62.552,1.689,-2.717,43.3,-2.26
36.09,62478,62.478,1.5,-2.7,43.3,-2.26
36.4,62453,62.453,1.54,-3.19,43.3,-2.26
36.63,62437,62.437,1.52,-2.87,43.3,-2.26
36.96,62414,62.414,1.61,-2.87,43.3,-2.26
37.29,62390,62.39,1.57,-2.91,43.3,-2.26
37.61,62368,62.368,1.59,-2.86,43.3,-2.26
37.98,62339,62.339,1.56,-3.07,43.3,-2.26
38.22,62319,62.319,1.6,-2.82,43.3,-2.26
38.72,62276,62.276,1.3,-3.57,43.3,-2.26
39.08,62245,62.245,1.58,-2.8,43.3,-2.26
39.39,62218,62.218,1.49,-3,43.3,-2.26
39.6,62200,62.2,1.36,-2.98,43.3,-2.26
39.92,62172,62.172,1.19,-2.99,43.3,-2.26
40.2,62152,62.152,1.21,-3.21,43.3,-2.26
40.6,62137,62.137,1.19,-3.11,43.3,-2.26
40.91,62125,62.125,1.29,-2.98,43.3,-2.26
41.29,62111,62.111,1.13,-3.12,43.3,-2.26
41.98,62083,62.083,1.24,-2.77,43.3,-2.26
42.28,62064,62.064,1.23,-2.51,43.3,-2.26
42.63,62041,62.041,1.37,-2.49,43.3,-2.26
42.69,62037,62.037,1.32,-2.45,43.3,-2.26
43.09,62011,62.011,1.46,-2.62,43.3,-2.26
43.27,62000,62,1.42,-2.45,43.3,-2.26
43.56,61980,61.98,1.36,-2.24,43.3,-2.26
43.83,61959,61.959,1.23,-2.53,43.3,-2.26
44.05,61942,61.942,1.35,-2.21,43.3,-2.26
44.24,61928,61.928,1.42,-2.57,43.3,-2.26
