Event,Location,Latitude,Longitude,Sample ID,Depth rel [m],CaCO3 [%],TOC [%],TOC std dev,d13C_PDB,d13C_stdev,d18O_PDB,d18O_stdev,d13C_org_PDB,d13C_org_stdev,d15N_air,d15N_stdev
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+5+6,0.055,53.64,0.35,0.009,1.02,,-2.13,,-24.12,0.2,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+6+7,0.065,69.47,0.37,0.005,1.17,,-1.83,,-23.87,0.094,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+7+8,0.075,68.23,0.41,0.041,1.14,,-1.82,,-23.51,0.045,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+8+9,0.085,67,0.46,0.076,1.13,,-1.83,,-23.66,0.231,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+9+10,0.095,75.3,0.36,0.006,1.02,,-2.01,,-23.8,0.118,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+11+13,0.12,75.49,0.38,0.006,1.08,,-2.08,,-24.06,0.004,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+14+16,0.15,83.79,0.38,0.009,1.2,,-1.7,,-23.67,0.044,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+16+18,0.17,83.02,0.35,0.009,1.19,,-1.91,,-22.83,0.24,,
Caravaca_outcrop,Spain,39.0886,-1.8739,Caravaca+20,0.19,87.43,0.39,0.008,1.29,,-1.98,,-22.87,0.103,,
Agost,Spain,38.45,-0.6333,Agost-22,-0.22,80.2,0.24,0.013,1.86,,-3.02,,-24.26,0.1,,
Agost,Spain,38.45,-0.6333,Agost-5,-0.175,81.87,0.09,,1.5,,-2.56,,,,,
Agost,Spain,38.45,-0.6333,Agost+0+1,0.005,80.2,0.24,0.013,1.86,,-3.02,,-24.26,0.1,,
Agost,Spain,38.45,-0.6333,Agost+1+2,0.015,31.55,0.4,0.01,-0.16,,-4.06,,-22.92,0.078,,
Agost,Spain,38.45,-0.6333,Agost+2+3,0.025,35.3,0.32,0.018,-0.19,,-3.8,,-23.08,0.093,,
Agost,Spain,38.45,-0.6333,Agost+3+4,0.035,33.52,0.34,0.021,-0.18,,-3.77,,-22.57,0.099,,
Agost,Spain,38.45,-0.6333,Agost+4+6,0.05,33.59,0.34,0.02,-0.27,,-3.14,,-23.19,0.012,,
Agost,Spain,38.45,-0.6333,Agost+8+10,0.09,69.54,0.29,0.004,0.81,,-2.3,,-23.9,0.098,,
Agost,Spain,38.45,-0.6333,Agost+10+12,0.11,59.01,0.22,0,0.4,,-2.21,,-23.06,0.086,,
Agost,Spain,38.45,-0.6333,Agost+12+14,0.13,81.75,0.41,0,0.79,,-2.32,,-23.97,0.08,,
Agost,Spain,38.45,-0.6333,Agost+14+16,0.15,71.21,0.31,0.024,0.68,,-2.47,,-23.91,0.031,,
Agost,Spain,38.45,-0.6333,Agost+16+18,0.17,84.47,0.48,0.004,1.23,,-2.1,,-23.96,0.082,,
Agost,Spain,38.45,-0.6333,Agost+18+20,0.19,78,0.28,0.019,0.91,,-2.39,,-23.86,0.062,,
Bidart,France,43.4483,-1.5878,Bidart-25,-0.25,66.04,0.08,,1.5,,-1.62,,,,,
Bidart,France,43.4483,-1.5878,Bidart-6-10,-0.1,38.99,0.25,0.013,1.86,,-1.24,,-23.94,0.145,,
Bidart,France,43.4483,-1.5878,Bidart-0-2,-0.02,64.47,0.26,0.014,1.47,,-2.09,,-24.1,0.092,,
Bidart,France,43.4483,-1.5878,Bidart+0+2,0.01,35.79,0.27,0.002,-1.57,,-3.28,,-23.92,0.043,,
Bidart,France,43.4483,-1.5878,Bidart+3+6,0.045,37.08,0.28,0.01,-1.36,,-2.98,,-23.97,0.021,,
Bidart,France,43.4483,-1.5878,Bidart+6+9,0.075,55.7,0.34,0.019,0.46,,-1.25,,-23.93,0.009,,
Bidart,France,43.4483,-1.5878,Bidart+9+13,0.11,51.96,0.29,0.001,0.48,,-1.14,,-24.02,0.049,,
Bidart,France,43.4483,-1.5878,Bidart+13+17,0.15,51.83,0.18,0,0.42,,-1.45,,-24.06,0.024,,
Bidart,France,43.4483,-1.5878,Bidart+17+21,0.19,49.96,0.29,0.016,0.35,,-1.3,,-23.84,0.104,,
Bidart,France,43.4483,-1.5878,Bidart+21+25,0.23,65.99,0.29,0.001,0.93,,-0.95,,-24.06,0.183,,
Bidart,France,43.4483,-1.5878,Bidart+25+29,0.27,66.54,0.29,0.015,1.09,,-0.84,,-23.97,0.088,,
Bidart,France,43.4483,-1.5878,Bidart+50,0.5,85.63,0.28,0.022,1.8,,-0.39,,-24.25,0.139,,
Loya,France,43.3806,-1.7556,LOYA-25,-0.25,65.55,0.06,,1.13,,-2.63,,,,,
Loya,France,43.3806,-1.7556,LOYA-6-10,-0.08,53.64,0.23,0.01,1.36,,-3.12,,-24.08,0.15,,
Loya,France,43.3806,-1.7556,LOYA-2-6,-0.04,66,0.24,0.02,1.51,,-2.92,,-24.23,0.09,,
