Event,Sample label (DSDP/ODP/IODP sample designation),Depth comp [mcd],Plank foram zone,"Age model [ka] (La2011, Determinded after Din...)",E. edita [#] (Absolute abundance),E. eobulloides [#] (Absolute abundance),E. spiralis [#] (Absolute abundance),G. archeocompressa [#] (Absolute abundance),G. chapmani [#] (Absolute abundance),G. compressa [#] (Absolute abundance),G. ehrenbergi [#] (Absolute abundance),G. imitata [#] (Absolute abundance),G. planocompressa [#] (Absolute abundance),H. holmdelensis [#] (Absolute abundance),H. monmouthensis [#] (Absolute abundance),I. albeari [#] (Absolute abundance),I. pusilla [#] (Absolute abundance),M. acutispira [#] (Absolute abundance),M. angulata [#] (Absolute abundance),M. apanthesma [#] (Absolute abundance),M. conicotruncata [#] (Absolute abundance),M. occlusa [#] (Absolute abundance),M. pasionensis [#] (Absolute abundance),M. praeangulata [#] (Absolute abundance),M. velascoensis [#] (Absolute abundance),P. inconstans [#] (Absolute abundance),P. pseudoinconstans [#] (Absolute abundance),P. taurica [#] (Absolute abundance),P. uncinata [#] (Absolute abundance),G. archeocompressa [#] (Absolute abundance),P. pseudobulloides [#] (Absolute abundance),P. varianta [#] (Absolute abundance),P. variospira [#] (Absolute abundance),S. cancellata [#] (Absolute abundance),S. triangularis [#] (Absolute abundance),S. triloculinoides [#] (Absolute abundance),S. trivialis [#] (Absolute abundance),G. daubjergensis [#] (Absolute abundance),G. cretacea [#] (Absolute abundance),C. midwayensis [#] (Absolute abundance),C. morsei [#] (Absolute abundance),P. alabamensis [#] (Absolute abundance),P. eugubina [#] (Absolute abundance),R. cretacea [#] (Absolute abundance),W. claytonensis [#] (Absolute abundance),W. hornerstownensis [#] (Absolute abundance),Z. waiparaensis [#] (Absolute abundance),A. mayaroensis [#] (Absolute abundance),G. citae [#] (Absolute abundance),G. subcarinatus [#] (Absolute abundance),G. aegyptiaca [#] (Absolute abundance),G. arca [#] (Absolute abundance),G. falsostuarti [#] (Absolute abundance),G. havanensis [#] (Absolute abundance),G. petaloidea [#] (Absolute abundance),G. conica [#] (Absolute abundance),G. stuarti [#] (Absolute abundance),H. navarroensis [#] (Absolute abundance),P. costulata [#] (Absolute abundance),P. palpebra [#] (Absolute abundance),P. elegans [#] (Absolute abundance),R. fructicosa [#] (Absolute abundance),R. glabrata [#] (Absolute abundance),R. contusa [#] (Absolute abundance),R. hexacamerata [#] (Absolute abundance),R. macrocephala [#] (Absolute abundance),R. reicheli [#] (Absolute abundance),R. rugosa [#] (Absolute abundance),R. scotti [#] (Absolute abundance),Foram benth [#] (Absolute abundance),Foram rew cret [#] (Absolute abundance)
208-1262B,208-1262B-20H-3,193.72,P3b,61990.598,0,0,0,0,36,0,14,0,0,0,0,2,0,0,32,23,1,0,0,0,3,0,0,0,0,0,0,54,3,96,4,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
208-1262B,208-1262B-20H-4,194.47,P3b,62074.565,0,0,0,0,14,0,24,1,0,0,0,3,1,0,39,20,0,0,0,0,1,0,0,0,0,0,0,73,6,87,2,19,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
208-1262B,208-1262B-20H-4,195.19,P3b,62139,0,0,0,0,7,0,39,0,0,0,0,3,6,0,33,11,3,0,0,0,0,0,0,0,0,0,0,84,3,79,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
208-1262C,208-1262C-11H-2,195.9,P3a,62233.609,0,0,0,0,5,1,17,0,0,0,0,0,0,0,17,3,0,0,0,4,0,4,0,0,2,0,0,107,3,98,2,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
208-1262C,208-1262C-11H-3,197.7,P3a,62445.24,0,0,0,0,0,0,18,0,0,0,0,0,1,0,13,0,0,0,0,12,0,16,0,0,20,0,0,94,4,91,0,23,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
208-1262C,208-1262C-11H-3,198.42,P3a,62544.569,0,0,0,0,0,11,22,1,0,0,0,0,0,0,17,0,0,0,0,14,0,17,0,0,14,0,1,76,2,98,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
208-1262C,208-1262C-11H-4,199.14,P2,62663.833,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,26,0,34,0,0,43,0,3,79,0,72,0,18,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
208-1262C,208-1262C-11H-4,199.86,P2,62726.083,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,29,8,0,18,0,5,74,0,77,0,39,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
208-1262C,208-1262C-11H-5,200.58,P2,62795.745,0,0,0,0,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,5,0,14,0,4,71,0,81,0,26,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
208-1262C,208-1262C-11H-5,201.3,P2,62884,0,0,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,44,16,0,14,0,1,86,0,46,0,31,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
208-1262B,208-1262B-21H-1,202.14,P2,62993.256,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,8,0,4,0,2,85,0,35,0,57,34,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
208-1262B,208-1262B-21H-2,202.86,P1c,63073.073,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,0,0,2,90,0,13,0,48,26,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
208-1262C,208-1262C-12H-1,203.58,P1c,63178.857,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,0,0,0,3,68,0,18,0,56,30,15,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
208-1262C,208-1262C-12H-2,204.3,P1c,63403.8,7,0,0,0,0,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,17,0,0,0,2,91,0,22,0,43,28,17,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
208-1262C,208-1262C-12H-2,205.02,P1c,63572.3,3,0,0,0,0,28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,39,0,0,0,5,41,0,24,0,55,38,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
208-1262C,208-1262C-12H-2,205.77,P1c,63813.471,2,0,0,0,0,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,61,0,0,0,5,41,0,23,0,57,29,14,0,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
