Sample label,d13C,d18O,mbsf,mcd,"age DT14/Woelders17, La11",Source,comment
,3.19,-0.24,,218.560,66.103782,"Woelders et al., 2017",bulk carbonate
,3.19,-0.18,,218.590,66.105241,"Woelders et al., 2017",bulk carbonate
,3.13,-0.21,,218.620,66.1067,"Woelders et al., 2017",bulk carbonate
,3.21,-0.08,,218.650,66.108159,"Woelders et al., 2017",bulk carbonate
,3.14,-0.14,,218.680,66.109618,"Woelders et al., 2017",bulk carbonate
,3.24,-0.01,,218.710,66.111077,"Woelders et al., 2017",bulk carbonate
,2.97,-0.26,,218.740,66.112536,"Woelders et al., 2017",bulk carbonate
,2.87,-0.21,,218.770,66.113995,"Woelders et al., 2017",bulk carbonate
,3.03,0.09,,218.800,66.115455,"Woelders et al., 2017",bulk carbonate
,3.13,0.08,,218.830,66.116914,"Woelders et al., 2017",bulk carbonate
,2.97,-0.26,,218.860,66.118373,"Woelders et al., 2017",bulk carbonate
,2.90,-0.30,,218.950,66.12275,"Woelders et al., 2017",bulk carbonate
,3.10,0.09,,218.980,66.124209,"Woelders et al., 2017",bulk carbonate
,2.98,-0.18,,219.010,66.125668,"Woelders et al., 2017",bulk carbonate
,3.15,0.03,,219.040,66.127127,"Woelders et al., 2017",bulk carbonate
,2.98,-0.23,,219.070,66.128586,"Woelders et al., 2017",bulk carbonate
,3.00,-0.19,,219.100,66.130045,"Woelders et al., 2017",bulk carbonate
,2.87,-0.11,,219.130,66.131505,"Woelders et al., 2017",bulk carbonate
,3.06,0.10,,219.160,66.132964,"Woelders et al., 2017",bulk carbonate
,2.94,-0.06,,219.190,66.134423,"Woelders et al., 2017",bulk carbonate
,3.01,-0.23,,219.220,66.135882,"Woelders et al., 2017",bulk carbonate
,2.99,-0.20,,219.250,66.137341,"Woelders et al., 2017",bulk carbonate
,2.87,-0.26,,219.280,66.1388,"Woelders et al., 2017",bulk carbonate
,2.84,-0.02,,219.310,66.140259,"Woelders et al., 2017",bulk carbonate
,2.93,-0.02,,219.340,66.141718,"Woelders et al., 2017",bulk carbonate
,2.79,-0.30,,219.370,66.143177,"Woelders et al., 2017",bulk carbonate
,2.82,-0.01,,219.400,66.144636,"Woelders et al., 2017",bulk carbonate
,2.84,-0.18,,219.430,66.146095,"Woelders et al., 2017",bulk carbonate
,2.77,-0.10,,219.460,66.147555,"Woelders et al., 2017",bulk carbonate
,2.87,0.03,,219.490,66.149014,"Woelders et al., 2017",bulk carbonate
,2.87,-0.23,,219.520,66.150473,"Woelders et al., 2017",bulk carbonate
,3.05,0.04,,219.550,66.151932,"Woelders et al., 2017",bulk carbonate
,2.87,-0.11,,219.580,66.153391,"Woelders et al., 2017",bulk carbonate
,3.13,0.21,,219.610,66.15485,"Woelders et al., 2017",bulk carbonate
,3.12,0.23,,219.640,66.156309,"Woelders et al., 2017",bulk carbonate
,2.97,-0.23,,219.670,66.157768,"Woelders et al., 2017",bulk carbonate
,3.30,,,219.700,66.159227,"Woelders et al., 2017",bulk carbonate
,2.91,-0.14,,219.730,66.160686,"Woelders et al., 2017",bulk carbonate
,3.11,-0.16,,219.760,66.162145,"Woelders et al., 2017",bulk carbonate
,2.82,-0.29,,219.790,66.163605,"Woelders et al., 2017",bulk carbonate
,2.92,-0.28,,219.820,66.165064,"Woelders et al., 2017",bulk carbonate
,2.96,-0.33,,219.850,66.166523,"Woelders et al., 2017",bulk carbonate
,2.74,-0.37,,219.880,66.167982,"Woelders et al., 2017",bulk carbonate
,2.79,-0.36,,219.910,66.169441,"Woelders et al., 2017",bulk carbonate
,2.85,-0.35,,219.970,66.172359,"Woelders et al., 2017",bulk carbonate
,2.82,-0.50,,220.000,66.173818,"Woelders et al., 2017",bulk carbonate
,2.90,-0.43,,220.030,66.175277,"Woelders et al., 2017",bulk carbonate
,2.87,-0.32,,220.060,66.176736,"Woelders et al., 2017",bulk carbonate
,2.84,-0.36,,220.120,66.179655,"Woelders et al., 2017",bulk carbonate
,2.78,-0.44,,220.150,66.181114,"Woelders et al., 2017",bulk carbonate
,2.85,-0.31,,220.180,66.182573,"Woelders et al., 2017",bulk carbonate
,2.80,-0.33,,220.210,66.184032,"Woelders et al., 2017",bulk carbonate
,2.84,-0.38,,220.240,66.185491,"Woelders et al., 2017",bulk carbonate
,2.85,-0.29,,220.270,66.18695,"Woelders et al., 2017",bulk carbonate
,2.82,-0.35,,220.300,66.188409,"Woelders et al., 2017",bulk carbonate
,2.74,-0.43,,220.330,66.189868,"Woelders et al., 2017",bulk carbonate
,2.84,-0.41,,220.360,66.191327,"Woelders et al., 2017",bulk carbonate
,2.84,-0.39,,220.390,66.192786,"Woelders et al., 2017",bulk carbonate
,2.99,-0.27,,220.420,66.194245,"Woelders et al., 2017",bulk carbonate
,2.79,-0.50,,220.450,66.195705,"Woelders et al., 2017",bulk carbonate
,2.83,-0.44,,220.480,66.197164,"Woelders et al., 2017",bulk carbonate
,2.78,-0.38,,220.510,66.198623,"Woelders et al., 2017",bulk carbonate
,2.67,-0.38,,220.540,66.200082,"Woelders et al., 2017",bulk carbonate
,2.77,-0.29,,220.570,66.201541,"Woelders et al., 2017",bulk carbonate
,2.81,-0.21,,220.600,66.203,"Woelders et al., 2017",bulk carbonate
,2.72,-0.44,,220.630,66.204543,"Woelders et al., 2017",bulk carbonate
,2.60,-0.50,,220.660,66.206086,"Woelders et al., 2017",bulk carbonate
,2.50,-0.78,,220.690,66.207629,"Woelders et al., 2017",bulk carbonate
,2.66,-0.75,,220.720,66.209171,"Woelders et al., 2017",bulk carbonate
,2.65,-0.73,,220.750,66.210714,"Woelders et al., 2017",bulk carbonate
,2.77,-0.66,,220.780,66.212257,"Woelders et al., 2017",bulk carbonate
,2.85,-0.66,,220.810,66.2138,"Woelders et al., 2017",bulk carbonate
,2.98,-0.57,,220.840,66.215343,"Woelders et al., 2017",bulk carbonate
,2.94,-0.51,,220.870,66.216886,"Woelders et al., 2017",bulk carbonate
,2.91,-0.52,,220.900,66.218429,"Woelders et al., 2017",bulk carbonate
,2.88,-0.54,,220.930,66.219971,"Woelders et al., 2017",bulk carbonate
,2.80,-0.47,,220.960,66.221514,"Woelders et al., 2017",bulk carbonate
,2.80,-0.54,,220.990,66.223057,"Woelders et al., 2017",bulk carbonate
,2.76,-0.44,,221.020,66.2246,"Woelders et al., 2017",bulk carbonate
,2.77,-0.39,,221.050,66.226143,"Woelders et al., 2017",bulk carbonate
,2.69,-0.55,,221.080,66.227686,"Woelders et al., 2017",bulk carbonate
,2.68,-0.48,,221.110,66.229229,"Woelders et al., 2017",bulk carbonate
,2.81,-0.50,,221.140,66.230771,"Woelders et al., 2017",bulk carbonate
,2.73,-0.70,,221.200,66.233857,"Woelders et al., 2017",bulk carbonate
,2.74,-0.69,,221.260,66.236943,"Woelders et al., 2017",bulk carbonate
,2.84,-0.58,,221.290,66.238486,"Woelders et al., 2017",bulk carbonate
,2.90,-0.58,,221.320,66.240029,"Woelders et al., 2017",bulk carbonate
,2.95,-0.54,,221.350,66.241571,"Woelders et al., 2017",bulk carbonate
,2.91,-0.49,,221.410,66.244657,"Woelders et al., 2017",bulk carbonate
,2.82,-0.49,,221.470,66.247743,"Woelders et al., 2017",bulk carbonate
,2.76,-0.45,,221.500,66.249286,"Woelders et al., 2017",bulk carbonate
,2.75,-0.55,,221.530,66.250829,"Woelders et al., 2017",bulk carbonate
,2.74,-0.59,,221.560,66.252371,"Woelders et al., 2017",bulk carbonate
,2.75,-0.58,,221.590,66.253914,"Woelders et al., 2017",bulk carbonate
,2.69,-0.63,,221.620,66.255457,"Woelders et al., 2017",bulk carbonate
,2.88,-0.64,,221.650,66.257,"Woelders et al., 2017",bulk carbonate
,2.85,-0.55,,221.740,66.261629,"Woelders et al., 2017",bulk carbonate
,2.86,-0.63,,221.770,66.263171,"Woelders et al., 2017",bulk carbonate
,2.98,-0.55,,221.800,66.264714,"Woelders et al., 2017",bulk carbonate
,2.93,-0.53,,221.830,66.266257,"Woelders et al., 2017",bulk carbonate
,2.95,-0.42,,221.890,66.269343,"Woelders et al., 2017",bulk carbonate
,2.89,-0.46,,221.920,66.270886,"Woelders et al., 2017",bulk carbonate
,2.83,-0.51,,221.950,66.272429,"Woelders et al., 2017",bulk carbonate
,2.78,-0.48,,221.980,66.273971,"Woelders et al., 2017",bulk carbonate
,2.77,-0.51,,222.010,66.275514,"Woelders et al., 2017",bulk carbonate
,2.80,-0.46,,222.040,66.277057,"Woelders et al., 2017",bulk carbonate
,2.77,-0.49,,222.070,66.2786,"Woelders et al., 2017",bulk carbonate
,2.76,-0.56,,222.100,66.280143,"Woelders et al., 2017",bulk carbonate
,2.75,-0.53,,222.130,66.281686,"Woelders et al., 2017",bulk carbonate
,2.76,-0.54,,222.160,66.283229,"Woelders et al., 2017",bulk carbonate
,2.75,-0.58,,222.190,66.284771,"Woelders et al., 2017",bulk carbonate
,2.85,-0.55,,222.220,66.286314,"Woelders et al., 2017",bulk carbonate
,2.77,-0.55,,222.250,66.287857,"Woelders et al., 2017",bulk carbonate
,2.88,-0.53,,222.280,66.2894,"Woelders et al., 2017",bulk carbonate
,2.96,-0.52,,222.310,66.290943,"Woelders et al., 2017",bulk carbonate
,2.90,-0.45,,222.340,66.292486,"Woelders et al., 2017",bulk carbonate
,3.01,-0.31,,222.370,66.294029,"Woelders et al., 2017",bulk carbonate
,2.83,-0.57,,222.400,66.295571,"Woelders et al., 2017",bulk carbonate
,2.86,-0.48,,222.430,66.297114,"Woelders et al., 2017",bulk carbonate
,2.89,-0.41,,222.460,66.298657,"Woelders et al., 2017",bulk carbonate
,2.82,-0.37,,222.490,66.3002,"Woelders et al., 2017",bulk carbonate
,2.98,-0.33,,222.520,66.301743,"Woelders et al., 2017",bulk carbonate
,3.00,-0.35,,222.550,66.303286,"Woelders et al., 2017",bulk carbonate
,2.78,-0.48,,222.580,66.304829,"Woelders et al., 2017",bulk carbonate
,2.96,-0.39,,222.610,66.306371,"Woelders et al., 2017",bulk carbonate
,2.95,-0.37,,222.640,66.307914,"Woelders et al., 2017",bulk carbonate
,3.00,-0.34,,222.670,66.309457,"Woelders et al., 2017",bulk carbonate
,2.91,-0.30,,222.700,66.311,"Woelders et al., 2017",bulk carbonate
,3.06,-0.36,,222.730,66.312828,"Woelders et al., 2017",bulk carbonate
,2.85,-0.47,,222.760,66.314655,"Woelders et al., 2017",bulk carbonate
,3.17,-0.24,,222.790,66.316483,"Woelders et al., 2017",bulk carbonate
,3.36,-0.11,,222.820,66.31831,"Woelders et al., 2017",bulk carbonate
,3.17,-0.25,,222.850,66.320138,"Woelders et al., 2017",bulk carbonate
,3.30,0.00,,222.880,66.321966,"Woelders et al., 2017",bulk carbonate
,2.87,-0.20,,222.910,66.323793,"Woelders et al., 2017",bulk carbonate
,2.83,-0.33,,222.940,66.325621,"Woelders et al., 2017",bulk carbonate
,2.83,-0.27,,222.970,66.327448,"Woelders et al., 2017",bulk carbonate
,2.82,-0.42,,223.000,66.329276,"Woelders et al., 2017",bulk carbonate
,2.88,-0.25,,223.030,66.331103,"Woelders et al., 2017",bulk carbonate
,2.92,-0.31,,223.060,66.332931,"Woelders et al., 2017",bulk carbonate
,3.08,-0.03,,223.090,66.334759,"Woelders et al., 2017",bulk carbonate
,3.00,-0.11,,223.120,66.336586,"Woelders et al., 2017",bulk carbonate
,2.96,-0.16,,223.150,66.338414,"Woelders et al., 2017",bulk carbonate
,3.01,-0.18,,223.180,66.340241,"Woelders et al., 2017",bulk carbonate
,3.05,-0.12,,223.210,66.342069,"Woelders et al., 2017",bulk carbonate
,2.87,-0.49,,223.540,66.362172,"Woelders et al., 2017",bulk carbonate
,2.96,-0.06,,223.570,66.364,"Woelders et al., 2017",bulk carbonate
,2.96,-0.26,,223.600,66.365828,"Woelders et al., 2017",bulk carbonate
,3.01,-0.06,,223.630,66.367655,"Woelders et al., 2017",bulk carbonate
,3.04,-0.05,,223.660,66.369483,"Woelders et al., 2017",bulk carbonate
,2.93,-0.26,,223.690,66.37131,"Woelders et al., 2017",bulk carbonate
,3.10,-0.04,,223.720,66.373138,"Woelders et al., 2017",bulk carbonate
,3.10,-0.11,,223.750,66.374966,"Woelders et al., 2017",bulk carbonate
,2.99,-0.13,,223.780,66.376793,"Woelders et al., 2017",bulk carbonate
,3.08,-0.19,,223.810,66.378621,"Woelders et al., 2017",bulk carbonate
,2.99,-0.19,,223.840,66.380448,"Woelders et al., 2017",bulk carbonate
,2.97,-0.22,,223.870,66.382276,"Woelders et al., 2017",bulk carbonate
,2.97,-0.34,,223.900,66.384103,"Woelders et al., 2017",bulk carbonate
,2.98,-0.36,,223.930,66.385931,"Woelders et al., 2017",bulk carbonate
,2.92,-0.42,,223.960,66.387759,"Woelders et al., 2017",bulk carbonate
,2.99,-0.38,,223.990,66.389586,"Woelders et al., 2017",bulk carbonate
,2.97,-0.39,,224.020,66.391414,"Woelders et al., 2017",bulk carbonate
,2.97,-0.39,,224.050,66.393241,"Woelders et al., 2017",bulk carbonate
,2.93,-0.28,,224.080,66.395069,"Woelders et al., 2017",bulk carbonate
,3.10,-0.09,,224.110,66.396897,"Woelders et al., 2017",bulk carbonate
,2.78,-0.50,,224.140,66.398724,"Woelders et al., 2017",bulk carbonate
,2.91,-0.17,,224.170,66.400552,"Woelders et al., 2017",bulk carbonate
,2.87,-0.36,,224.200,66.402379,"Woelders et al., 2017",bulk carbonate
,2.86,-0.27,,224.230,66.404207,"Woelders et al., 2017",bulk carbonate
,2.94,-0.25,,224.260,66.406034,"Woelders et al., 2017",bulk carbonate
,2.84,-0.44,,224.290,66.407862,"Woelders et al., 2017",bulk carbonate
,2.91,-0.28,,224.320,66.40969,"Woelders et al., 2017",bulk carbonate
,2.87,-0.28,,224.380,66.413345,"Woelders et al., 2017",bulk carbonate
,3.05,-0.22,,224.410,66.415172,"Woelders et al., 2017",bulk carbonate
,3.02,-0.18,,224.440,66.417,"Woelders et al., 2017",bulk carbonate
,2.91,-0.40,,224.470,66.418622,"Woelders et al., 2017",bulk carbonate
,3.03,-0.28,,224.500,66.420245,"Woelders et al., 2017",bulk carbonate
,2.94,-0.18,,224.530,66.421867,"Woelders et al., 2017",bulk carbonate
,3.02,-0.58,,224.560,66.42349,"Woelders et al., 2017",bulk carbonate
,2.94,-0.05,,224.590,66.425112,"Woelders et al., 2017",bulk carbonate
,2.85,-0.25,,224.620,66.426735,"Woelders et al., 2017",bulk carbonate
,2.95,-0.28,,224.650,66.428357,"Woelders et al., 2017",bulk carbonate
,2.92,-0.28,,224.680,66.42998,"Woelders et al., 2017",bulk carbonate
,2.94,-0.15,,224.710,66.431602,"Woelders et al., 2017",bulk carbonate
,3.07,-0.07,,224.740,66.433224,"Woelders et al., 2017",bulk carbonate
,3.09,-0.22,,224.770,66.434847,"Woelders et al., 2017",bulk carbonate
,3.17,0.13,,224.800,66.436469,"Woelders et al., 2017",bulk carbonate
,3.17,-0.02,,224.830,66.438092,"Woelders et al., 2017",bulk carbonate
,3.13,0.12,,224.860,66.439714,"Woelders et al., 2017",bulk carbonate
,3.22,0.01,,224.890,66.441337,"Woelders et al., 2017",bulk carbonate
,3.17,-0.05,,224.920,66.442959,"Woelders et al., 2017",bulk carbonate
,3.11,0.02,,224.950,66.444582,"Woelders et al., 2017",bulk carbonate
,3.07,-0.11,,224.980,66.446204,"Woelders et al., 2017",bulk carbonate
,3.15,-0.09,,225.010,66.447827,"Woelders et al., 2017",bulk carbonate
,3.07,-0.04,,225.040,66.449449,"Woelders et al., 2017",bulk carbonate
,2.98,-0.28,,225.100,66.452694,"Woelders et al., 2017",bulk carbonate
,3.02,-0.18,,225.130,66.454316,"Woelders et al., 2017",bulk carbonate
,3.15,0.03,,225.160,66.455939,"Woelders et al., 2017",bulk carbonate
,3.28,0.06,,225.190,66.457561,"Woelders et al., 2017",bulk carbonate
,3.08,-0.09,,225.220,66.459184,"Woelders et al., 2017",bulk carbonate
,3.05,-0.17,,225.250,66.460806,"Woelders et al., 2017",bulk carbonate
,3.08,-0.06,,225.280,66.462429,"Woelders et al., 2017",bulk carbonate
,3.16,-0.21,,225.310,66.464051,"Woelders et al., 2017",bulk carbonate
,3.12,-0.03,,225.340,66.465673,"Woelders et al., 2017",bulk carbonate
,3.09,-0.02,,225.370,66.467296,"Woelders et al., 2017",bulk carbonate
,3.09,-0.22,,225.400,66.468918,"Woelders et al., 2017",bulk carbonate
,3.10,-0.08,,225.430,66.470541,"Woelders et al., 2017",bulk carbonate
,3.11,0.08,,225.460,66.472163,"Woelders et al., 2017",bulk carbonate
,3.01,-0.12,,225.490,66.473786,"Woelders et al., 2017",bulk carbonate
,3.07,-0.12,,225.520,66.475408,"Woelders et al., 2017",bulk carbonate
,2.97,-0.17,,225.550,66.477031,"Woelders et al., 2017",bulk carbonate
,3.08,-0.05,,225.580,66.478653,"Woelders et al., 2017",bulk carbonate
,2.96,-0.23,,225.610,66.480276,"Woelders et al., 2017",bulk carbonate
,3.10,-0.01,,225.640,66.481898,"Woelders et al., 2017",bulk carbonate
,2.92,-0.16,,225.670,66.48352,"Woelders et al., 2017",bulk carbonate
,3.08,0.00,,225.690,66.484602,"Woelders et al., 2017",bulk carbonate
,3.11,-0.06,,225.730,66.486765,"Woelders et al., 2017",bulk carbonate
,2.95,-0.07,,225.760,66.488388,"Woelders et al., 2017",bulk carbonate
,2.91,-0.06,,225.790,66.49001,"Woelders et al., 2017",bulk carbonate
,2.82,-0.41,,225.820,66.491633,"Woelders et al., 2017",bulk carbonate
,2.82,-0.10,,225.850,66.493255,"Woelders et al., 2017",bulk carbonate
,2.77,-0.23,,225.880,66.494878,"Woelders et al., 2017",bulk carbonate
,2.87,-0.20,,225.910,66.4965,"Woelders et al., 2017",bulk carbonate
,2.79,-0.08,,225.940,66.498122,"Woelders et al., 2017",bulk carbonate
,2.88,-0.13,,225.970,66.499745,"Woelders et al., 2017",bulk carbonate
,2.88,-0.17,,226.000,66.501367,"Woelders et al., 2017",bulk carbonate
,2.99,-0.08,,226.030,66.50299,"Woelders et al., 2017",bulk carbonate
,3.02,0.00,,226.060,66.504612,"Woelders et al., 2017",bulk carbonate
,2.91,-0.18,,226.090,66.506235,"Woelders et al., 2017",bulk carbonate
,2.89,-0.19,,226.120,66.507857,"Woelders et al., 2017",bulk carbonate
,2.90,-0.12,,226.150,66.50948,"Woelders et al., 2017",bulk carbonate
,2.84,-0.14,,226.180,66.511102,"Woelders et al., 2017",bulk carbonate
,2.87,-0.19,,226.210,66.512724,"Woelders et al., 2017",bulk carbonate
,2.92,-0.11,,226.240,66.514347,"Woelders et al., 2017",bulk carbonate
,2.85,-0.03,,226.270,66.515969,"Woelders et al., 2017",bulk carbonate
,2.73,-0.10,,226.300,66.517592,"Woelders et al., 2017",bulk carbonate
,2.83,-0.05,,226.330,66.519214,"Woelders et al., 2017",bulk carbonate
,2.87,0.00,,226.360,66.520837,"Woelders et al., 2017",bulk carbonate
,2.88,-0.10,,226.390,66.522459,"Woelders et al., 2017",bulk carbonate
,3.06,0.01,,226.420,66.524014,"Woelders et al., 2017",bulk carbonate
,3.06,-0.01,,226.450,66.525536,"Woelders et al., 2017",bulk carbonate
,2.82,-0.11,,226.480,66.527057,"Woelders et al., 2017",bulk carbonate
,3.05,-0.17,,226.540,66.5301,"Woelders et al., 2017",bulk carbonate
,2.99,0.05,,226.570,66.531621,"Woelders et al., 2017",bulk carbonate
,2.91,-0.01,,226.600,66.533142,"Woelders et al., 2017",bulk carbonate
,2.84,-0.16,,226.630,66.534664,"Woelders et al., 2017",bulk carbonate
,2.80,-0.08,,226.660,66.536185,"Woelders et al., 2017",bulk carbonate
,2.72,-0.02,,226.690,66.537706,"Woelders et al., 2017",bulk carbonate
,2.83,0.00,,226.720,66.539227,"Woelders et al., 2017",bulk carbonate
,2.83,-0.01,,226.750,66.540749,"Woelders et al., 2017",bulk carbonate
,2.85,-0.16,,226.780,66.54227,"Woelders et al., 2017",bulk carbonate
,2.96,-0.06,,226.810,66.543791,"Woelders et al., 2017",bulk carbonate
,3.01,-0.09,,226.840,66.545313,"Woelders et al., 2017",bulk carbonate
,3.05,0.01,,226.870,66.546834,"Woelders et al., 2017",bulk carbonate
,3.07,-0.14,,226.900,66.548355,"Woelders et al., 2017",bulk carbonate
,2.97,-0.16,,226.930,66.549877,"Woelders et al., 2017",bulk carbonate
,3.09,-0.13,,226.960,66.551398,"Woelders et al., 2017",bulk carbonate
,2.98,-0.01,,226.990,66.552919,"Woelders et al., 2017",bulk carbonate
,3.00,-0.16,,227.010,66.553934,"Woelders et al., 2017",bulk carbonate
,2.98,-0.05,,227.040,66.555455,"Woelders et al., 2017",bulk carbonate
,2.98,-0.08,,227.070,66.556976,"Woelders et al., 2017",bulk carbonate
,2.96,0.06,,227.100,66.558498,"Woelders et al., 2017",bulk carbonate
,2.91,0.14,,227.130,66.560019,"Woelders et al., 2017",bulk carbonate
,2.85,-0.12,,227.160,66.56154,"Woelders et al., 2017",bulk carbonate
,2.93,0.02,,227.190,66.563062,"Woelders et al., 2017",bulk carbonate
,2.89,-0.01,,227.220,66.564583,"Woelders et al., 2017",bulk carbonate
,2.86,0.11,,227.250,66.566104,"Woelders et al., 2017",bulk carbonate
,2.94,0.09,,227.280,66.567626,"Woelders et al., 2017",bulk carbonate
,2.83,-0.11,,227.310,66.569147,"Woelders et al., 2017",bulk carbonate
,2.91,-0.11,,227.370,66.57219,"Woelders et al., 2017",bulk carbonate
,2.95,-0.02,,227.400,66.573711,"Woelders et al., 2017",bulk carbonate
,2.83,-0.30,,227.430,66.575232,"Woelders et al., 2017",bulk carbonate
,2.92,-0.03,,227.460,66.576754,"Woelders et al., 2017",bulk carbonate
,2.95,0.05,,227.490,66.578275,"Woelders et al., 2017",bulk carbonate
,2.94,0.03,,227.520,66.579796,"Woelders et al., 2017",bulk carbonate
,3.17,-0.28,,227.550,66.581318,"Woelders et al., 2017",bulk carbonate
,3.22,-0.29,,227.580,66.582839,"Woelders et al., 2017",bulk carbonate
,3.19,-0.47,,227.610,66.58436,"Woelders et al., 2017",bulk carbonate
,3.12,-0.40,,227.640,66.585882,"Woelders et al., 2017",bulk carbonate
,3.13,-0.33,,227.670,66.587403,"Woelders et al., 2017",bulk carbonate
,2.97,-0.13,,227.700,66.588924,"Woelders et al., 2017",bulk carbonate
,2.91,-0.31,,227.730,66.590445,"Woelders et al., 2017",bulk carbonate
,2.94,-0.26,,227.760,66.591967,"Woelders et al., 2017",bulk carbonate
,2.92,-0.32,,227.790,66.593488,"Woelders et al., 2017",bulk carbonate
,2.98,-0.27,,227.820,66.595009,"Woelders et al., 2017",bulk carbonate
,3.00,-0.23,,227.850,66.596531,"Woelders et al., 2017",bulk carbonate
,3.03,-0.07,,227.880,66.598052,"Woelders et al., 2017",bulk carbonate
,2.91,-0.26,,227.910,66.599573,"Woelders et al., 2017",bulk carbonate
,2.84,-0.17,,227.940,66.601095,"Woelders et al., 2017",bulk carbonate
,2.94,-0.18,,227.970,66.602616,"Woelders et al., 2017",bulk carbonate
,3.03,-0.19,,228.000,66.604137,"Woelders et al., 2017",bulk carbonate
,3.07,0.08,,228.030,66.605659,"Woelders et al., 2017",bulk carbonate
,3.04,-0.06,,228.060,66.60718,"Woelders et al., 2017",bulk carbonate
,3.02,-0.19,,228.090,66.608701,"Woelders et al., 2017",bulk carbonate
,3.03,-0.14,,228.120,66.610223,"Woelders et al., 2017",bulk carbonate
,3.23,-0.04,,228.150,66.611744,"Woelders et al., 2017",bulk carbonate
,2.93,-0.17,,228.190,66.613773,"Woelders et al., 2017",bulk carbonate
,2.94,-0.09,,228.220,66.615294,"Woelders et al., 2017",bulk carbonate
,2.84,-0.17,,228.250,66.616815,"Woelders et al., 2017",bulk carbonate
,2.91,0.01,,228.280,66.618336,"Woelders et al., 2017",bulk carbonate
,2.79,-0.03,,228.310,66.619858,"Woelders et al., 2017",bulk carbonate
,2.68,-0.10,,228.340,66.621379,"Woelders et al., 2017",bulk carbonate
,2.85,-0.25,,228.370,66.6229,"Woelders et al., 2017",bulk carbonate
,2.77,-0.12,,228.400,66.624422,"Woelders et al., 2017",bulk carbonate
,2.85,-0.05,,228.430,66.625943,"Woelders et al., 2017",bulk carbonate
,2.91,-0.20,,228.460,66.627464,"Woelders et al., 2017",bulk carbonate
,3.11,0.00,,228.490,66.628986,"Woelders et al., 2017",bulk carbonate
,3.16,0.01,,228.520,66.630533,"Woelders et al., 2017",bulk carbonate
,2.96,-0.09,,228.550,66.632132,"Woelders et al., 2017",bulk carbonate
,2.93,-0.32,,228.580,66.633731,"Woelders et al., 2017",bulk carbonate
,2.92,-0.25,,228.610,66.63533,"Woelders et al., 2017",bulk carbonate
,2.75,-0.55,,228.640,66.636929,"Woelders et al., 2017",bulk carbonate
,2.84,-0.23,,228.670,66.638528,"Woelders et al., 2017",bulk carbonate
,2.85,-0.03,,228.700,66.640127,"Woelders et al., 2017",bulk carbonate
,3.00,0.07,,228.730,66.641726,"Woelders et al., 2017",bulk carbonate
,2.86,-0.22,,228.760,66.643325,"Woelders et al., 2017",bulk carbonate
,2.87,-0.35,,228.790,66.644924,"Woelders et al., 2017",bulk carbonate
,2.96,-0.09,,228.820,66.646523,"Woelders et al., 2017",bulk carbonate
,3.12,0.00,,228.850,66.648122,"Woelders et al., 2017",bulk carbonate
,2.96,-0.16,,228.880,66.649721,"Woelders et al., 2017",bulk carbonate
,3.05,-0.22,,228.910,66.65132,"Woelders et al., 2017",bulk carbonate
,3.01,0.09,,228.940,66.652919,"Woelders et al., 2017",bulk carbonate
,3.09,0.16,,228.960,66.653985,"Woelders et al., 2017",bulk carbonate
,3.08,0.13,,228.990,66.655584,"Woelders et al., 2017",bulk carbonate
,2.92,0.01,,229.010,66.65665,"Woelders et al., 2017",bulk carbonate
,2.84,-0.04,,229.040,66.658249,"Woelders et al., 2017",bulk carbonate
,2.73,-0.16,,229.070,66.659848,"Woelders et al., 2017",bulk carbonate
,2.88,0.10,,229.100,66.661447,"Woelders et al., 2017",bulk carbonate
,2.82,-0.05,,229.130,66.663046,"Woelders et al., 2017",bulk carbonate
,2.89,-0.18,,229.160,66.664645,"Woelders et al., 2017",bulk carbonate
,2.95,-0.12,,229.190,66.666244,"Woelders et al., 2017",bulk carbonate
,3.05,0.05,,229.220,66.667843,"Woelders et al., 2017",bulk carbonate
,3.00,-0.04,,229.250,66.669442,"Woelders et al., 2017",bulk carbonate
,3.02,0.07,,229.280,66.671041,"Woelders et al., 2017",bulk carbonate
,2.96,-0.06,,229.310,66.67264,"Woelders et al., 2017",bulk carbonate
,3.10,0.01,,229.340,66.674239,"Woelders et al., 2017",bulk carbonate
,2.98,-0.18,,229.370,66.675838,"Woelders et al., 2017",bulk carbonate
,2.90,-0.08,,229.400,66.677437,"Woelders et al., 2017",bulk carbonate
,2.88,-0.16,,229.440,66.679569,"Woelders et al., 2017",bulk carbonate
,2.94,0.09,,229.470,66.681168,"Woelders et al., 2017",bulk carbonate
,2.92,0.13,,229.500,66.682766,"Woelders et al., 2017",bulk carbonate
,2.95,-0.06,,229.530,66.684365,"Woelders et al., 2017",bulk carbonate
,2.94,-0.02,,229.560,66.685964,"Woelders et al., 2017",bulk carbonate
,2.98,0.02,,229.590,66.687563,"Woelders et al., 2017",bulk carbonate
,2.88,0.02,,229.620,66.689162,"Woelders et al., 2017",bulk carbonate
,3.04,0.06,,229.650,66.690761,"Woelders et al., 2017",bulk carbonate
,2.96,-0.03,,229.680,66.69236,"Woelders et al., 2017",bulk carbonate
,2.97,0.10,,229.710,66.693959,"Woelders et al., 2017",bulk carbonate
,3.02,0.06,,229.740,66.695558,"Woelders et al., 2017",bulk carbonate
,3.04,0.10,,229.770,66.697157,"Woelders et al., 2017",bulk carbonate
