Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.66,mcd,65.0074,D.-T. et al. 2014,1.0146,-0.13,9.97,0.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.69,mcd,65.0149,D.-T. et al. 2014,1.0071,-0.405,11.2,1.8
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.75,mcd,65.03,D.-T. et al. 2014,0.992,-0.079,9.75,0.35
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.78,mcd,65.0366,D.-T. et al. 2014,0.9854,-0.251,10.51,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.81,mcd,65.0413,D.-T. et al. 2014,0.9807,-0.252,10.52,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.84,mcd,65.046,D.-T. et al. 2014,0.976,-0.288,10.68,1.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.87,mcd,65.0506,D.-T. et al. 2014,0.9714,-0.063,9.67,0.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.9,mcd,65.0553,D.-T. et al. 2014,0.9667,-0.147,10.05,0.65
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.93,mcd,65.06,D.-T. et al. 2014,0.962,-0.06,9.66,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.94,mcd,65.0616,D.-T. et al. 2014,0.9604,-0.164,10.13,0.73
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212,mcd,65.071,D.-T. et al. 2014,0.951,-0.274,10.61,1.22
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.03,mcd,65.0757,D.-T. et al. 2014,0.9463,-0.308,10.77,1.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.06,mcd,65.0804,D.-T. et al. 2014,0.9416,-0.352,10.96,1.57
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.09,mcd,65.0851,D.-T. et al. 2014,0.9369,-0.372,11.06,1.66
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.12,mcd,65.0898,D.-T. et al. 2014,0.9322,-0.299,10.73,1.33
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.15,mcd,65.0945,D.-T. et al. 2014,0.9275,-0.36,11,1.6
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.18,mcd,65.0991,D.-T. et al. 2014,0.9229,-0.273,10.61,1.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.21,mcd,65.1038,D.-T. et al. 2014,0.9182,-0.193,10.25,0.86
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.24,mcd,65.1085,D.-T. et al. 2014,0.9135,-0.216,10.36,0.96
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.27,mcd,65.1132,D.-T. et al. 2014,0.9088,-0.127,9.96,0.56
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.3,mcd,65.1179,D.-T. et al. 2014,0.9041,-0.467,11.48,2.08
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.33,mcd,65.1226,D.-T. et al. 2014,0.8994,-0.437,11.34,1.95
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.36,mcd,65.1273,D.-T. et al. 2014,0.8947,-0.478,11.53,2.13
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.39,mcd,65.132,D.-T. et al. 2014,0.89,-0.39,11.14,1.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.42,mcd,65.1362,D.-T. et al. 2014,0.8858,-0.394,11.15,1.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.45,mcd,65.1405,D.-T. et al. 2014,0.8815,-0.375,11.07,1.67
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.51,mcd,65.1489,D.-T. et al. 2014,0.8731,-0.433,11.32,1.93
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.54,mcd,65.1531,D.-T. et al. 2014,0.8689,-0.378,11.08,1.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.57,mcd,65.1574,D.-T. et al. 2014,0.8646,-0.314,10.79,1.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.6,mcd,65.1616,D.-T. et al. 2014,0.8604,-0.364,11.02,1.62
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.63,mcd,65.1658,D.-T. et al. 2014,0.8562,-0.474,11.51,2.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.66,mcd,65.17,D.-T. et al. 2014,0.852,-0.344,10.93,1.53
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.69,mcd,65.1743,D.-T. et al. 2014,0.8477,-0.315,10.8,1.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.72,mcd,65.1785,D.-T. et al. 2014,0.8435,-0.382,11.1,1.7
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.75,mcd,65.1827,D.-T. et al. 2014,0.8393,-0.462,11.46,2.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.78,mcd,65.187,D.-T. et al. 2014,0.835,-0.537,11.8,2.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.81,mcd,65.1912,D.-T. et al. 2014,0.8308,-0.528,11.75,2.36
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.84,mcd,65.1954,D.-T. et al. 2014,0.8266,-0.777,12.88,3.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.87,mcd,65.1996,D.-T. et al. 2014,0.8224,-0.545,11.83,2.44
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.91,mcd,65.2053,D.-T. et al. 2014,0.8167,-0.467,11.48,2.08
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.94,mcd,65.2095,D.-T. et al. 2014,0.8125,-0.428,11.31,1.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.09,mcd,65.241,D.-T. et al. 2014,0.781,-0.715,12.6,3.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.12,mcd,65.253,D.-T. et al. 2014,0.769,-0.694,12.5,3.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.15,mcd,65.265,D.-T. et al. 2014,0.757,-0.585,12.01,2.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.18,mcd,65.277,D.-T. et al. 2014,0.745,-0.554,11.87,2.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.21,mcd,65.289,D.-T. et al. 2014,0.733,-0.426,11.3,1.9
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.24,mcd,65.301,D.-T. et al. 2014,0.721,-0.499,11.63,2.23
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.27,mcd,65.313,D.-T. et al. 2014,0.709,-0.645,12.28,2.89
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.3,mcd,65.325,D.-T. et al. 2014,0.697,-0.602,12.09,2.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.36,mcd,65.3378,D.-T. et al. 2014,0.6843,-0.691,12.49,3.09
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.39,mcd,65.343,D.-T. et al. 2014,0.679,-0.436,11.34,1.94
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.42,mcd,65.3483,D.-T. et al. 2014,0.6738,-0.694,12.51,3.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.45,mcd,65.3535,D.-T. et al. 2014,0.6685,-0.588,12.03,2.63
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.48,mcd,65.3588,D.-T. et al. 2014,0.6633,-0.618,12.16,2.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.51,mcd,65.364,D.-T. et al. 2014,0.658,-0.915,13.51,4.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.54,mcd,65.3693,D.-T. et al. 2014,0.6528,-0.335,10.89,1.49
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.57,mcd,65.3745,D.-T. et al. 2014,0.6475,-0.356,10.98,1.59
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.6,mcd,65.3798,D.-T. et al. 2014,0.6423,-0.295,10.71,1.31
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.63,mcd,65.385,D.-T. et al. 2014,0.637,-0.354,10.97,1.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.67,mcd,65.392,D.-T. et al. 2014,0.63,-0.39,11.13,1.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.7,mcd,65.3973,D.-T. et al. 2014,0.6248,-0.485,11.56,2.17
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.73,mcd,65.4025,D.-T. et al. 2014,0.6195,-0.478,11.53,2.13
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.76,mcd,65.4078,D.-T. et al. 2014,0.6143,-0.429,11.31,1.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.79,mcd,65.413,D.-T. et al. 2014,0.609,-0.392,11.14,1.75
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.82,mcd,65.4183,D.-T. et al. 2014,0.6038,-0.541,11.81,2.42
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.85,mcd,65.4235,D.-T. et al. 2014,0.5985,-0.471,11.5,2.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.88,mcd,65.4288,D.-T. et al. 2014,0.5933,-0.455,11.43,2.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.91,mcd,65.434,D.-T. et al. 2014,0.588,-0.596,12.06,2.66
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.94,mcd,65.4401,D.-T. et al. 2014,0.5819,-0.361,11,1.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.97,mcd,65.4461,D.-T. et al. 2014,0.5759,-0.52,11.72,2.32
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214,mcd,65.4522,D.-T. et al. 2014,0.5698,-0.417,11.25,1.86
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.03,mcd,65.4583,D.-T. et al. 2014,0.5637,-0.348,10.95,1.55
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.06,mcd,65.4643,D.-T. et al. 2014,0.5577,-0.312,10.79,1.39
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.09,mcd,65.4704,D.-T. et al. 2014,0.5516,-0.228,10.41,1.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.12,mcd,65.4765,D.-T. et al. 2014,0.5455,-0.261,10.56,1.16
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.15,mcd,65.4825,D.-T. et al. 2014,0.5395,-0.252,10.52,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.18,mcd,65.4886,D.-T. et al. 2014,0.5334,-0.176,10.18,0.78
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.21,mcd,65.4947,D.-T. et al. 2014,0.5273,-0.229,10.41,1.02
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.24,mcd,65.5007,D.-T. et al. 2014,0.5213,-0.135,9.99,0.6
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.27,mcd,65.5068,D.-T. et al. 2014,0.5152,-0.205,10.31,0.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.3,mcd,65.5128,D.-T. et al. 2014,0.5092,-0.111,9.89,0.49
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.33,mcd,65.5189,D.-T. et al. 2014,0.5031,-0.045,9.6,0.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.36,mcd,65.525,D.-T. et al. 2014,0.497,-0.225,10.4,1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.39,mcd,65.5305,D.-T. et al. 2014,0.4915,-0.055,9.64,0.25
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.42,mcd,65.5358,D.-T. et al. 2014,0.4862,0,9.4,0
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.45,mcd,65.5411,D.-T. et al. 2014,0.4809,0.011,9.35,-0.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.48,mcd,65.5464,D.-T. et al. 2014,0.4756,-0.008,9.43,0.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.51,mcd,65.5517,D.-T. et al. 2014,0.4703,0.047,9.19,-0.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.54,mcd,65.557,D.-T. et al. 2014,0.465,0.055,9.15,-0.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.57,mcd,65.5622,D.-T. et al. 2014,0.4598,0.013,9.34,-0.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.6,mcd,65.5675,D.-T. et al. 2014,0.4545,0.001,9.39,-0.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.63,mcd,65.5728,D.-T. et al. 2014,0.4492,-0.06,9.66,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.635,mcd,65.5737,D.-T. et al. 2014,0.4483,-0.425,11.29,1.9
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.64,mcd,65.5752,D.-T. et al. 2014,0.4468,-0.444,11.38,1.98
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.65,mcd,65.5766,D.-T. et al. 2014,0.4454,-0.38,11.09,1.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.66,mcd,65.5781,D.-T. et al. 2014,0.4439,-0.211,10.34,0.94
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.67,mcd,65.5796,D.-T. et al. 2014,0.4424,-0.271,10.6,1.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.68,mcd,65.581,D.-T. et al. 2014,0.441,-0.15,10.06,0.67
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.69,mcd,65.5825,D.-T. et al. 2014,0.4395,-0.132,9.98,0.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.69,mcd,65.584,D.-T. et al. 2014,0.438,-0.075,9.73,0.33
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.7,mcd,65.5854,D.-T. et al. 2014,0.4366,-0.174,10.17,0.77
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.71,mcd,65.5869,D.-T. et al. 2014,0.4351,-0.187,10.23,0.83
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.72,mcd,65.5884,D.-T. et al. 2014,0.4336,-0.14,10.02,0.62
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.73,mcd,65.5898,D.-T. et al. 2014,0.4322,-0.237,10.45,1.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.74,mcd,65.5913,D.-T. et al. 2014,0.4307,-0.332,10.87,1.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.74,mcd,65.5928,D.-T. et al. 2014,0.4292,-0.253,10.52,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.75,mcd,65.5942,D.-T. et al. 2014,0.4278,-0.211,10.34,0.94
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.76,mcd,65.5957,D.-T. et al. 2014,0.4263,-0.133,9.98,0.59
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.77,mcd,65.5972,D.-T. et al. 2014,0.4248,0.06,9.13,-0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.78,mcd,65.5987,D.-T. et al. 2014,0.4233,0.013,9.34,-0.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.79,mcd,65.6001,D.-T. et al. 2014,0.4219,-0.151,10.07,0.67
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.79,mcd,65.6018,D.-T. et al. 2014,0.4202,0.165,8.67,-0.73
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.8,mcd,65.6039,D.-T. et al. 2014,0.4181,0.033,9.25,-0.15
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.81,mcd,65.606,D.-T. et al. 2014,0.416,-0.148,10.05,0.66
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.82,mcd,65.609,D.-T. et al. 2014,0.413,-0.009,9.44,0.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.83,mcd,65.6119,D.-T. et al. 2014,0.4101,-0.236,10.44,1.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.84,mcd,65.6148,D.-T. et al. 2014,0.4072,0.093,8.98,-0.41
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.86,mcd,65.6177,D.-T. et al. 2014,0.4043,0.081,9.04,-0.36
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.87,mcd,65.6206,D.-T. et al. 2014,0.4014,-0.156,10.09,0.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.88,mcd,65.6235,D.-T. et al. 2014,0.3985,-0.112,9.89,0.5
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.89,mcd,65.6264,D.-T. et al. 2014,0.3956,0.096,8.97,-0.43
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.9,mcd,65.6293,D.-T. et al. 2014,0.3927,-0.008,9.43,0.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.91,mcd,65.6323,D.-T. et al. 2014,0.3897,0.04,9.22,-0.18
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.93,mcd,65.6352,D.-T. et al. 2014,0.3868,-0.025,9.51,0.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.94,mcd,65.6381,D.-T. et al. 2014,0.3839,-0.168,10.14,0.75
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.95,mcd,65.641,D.-T. et al. 2014,0.381,-0.027,9.52,0.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.96,mcd,65.6439,D.-T. et al. 2014,0.3781,0.174,8.63,-0.77
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.97,mcd,65.6459,D.-T. et al. 2014,0.3761,0.368,7.77,-1.62
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.98,mcd,65.648,D.-T. et al. 2014,0.374,0.063,9.12,-0.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.98,mcd,65.65,D.-T. et al. 2014,0.372,-0.102,9.85,0.45
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.99,mcd,65.652,D.-T. et al. 2014,0.37,-0.137,10,0.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215,mcd,65.6541,D.-T. et al. 2014,0.3679,-0.043,9.58,0.19
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.01,mcd,65.6561,D.-T. et al. 2014,0.3659,-0.179,10.19,0.8
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.02,mcd,65.6581,D.-T. et al. 2014,0.3639,-0.002,9.41,0.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.02,mcd,65.6602,D.-T. et al. 2014,0.3618,-0.011,9.44,0.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.03,mcd,65.6622,D.-T. et al. 2014,0.3598,0.187,8.57,-0.83
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.04,mcd,65.6642,D.-T. et al. 2014,0.3578,-0.231,10.42,1.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.05,mcd,65.6663,D.-T. et al. 2014,0.3557,-0.248,10.5,1.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.06,mcd,65.6683,D.-T. et al. 2014,0.3537,-0.465,11.47,2.07
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.06,mcd,65.6703,D.-T. et al. 2014,0.3517,-0.301,10.74,1.34
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.07,mcd,65.6724,D.-T. et al. 2014,0.3496,-0.403,11.19,1.8
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.08,mcd,65.6744,D.-T. et al. 2014,0.3476,-0.227,10.4,1.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.09,mcd,65.6764,D.-T. et al. 2014,0.3456,-0.421,11.27,1.88
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.1,mcd,65.6785,D.-T. et al. 2014,0.3435,-0.355,10.97,1.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.11,mcd,65.6805,D.-T. et al. 2014,0.3415,-0.321,10.82,1.43
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.11,mcd,65.6825,D.-T. et al. 2014,0.3395,-0.293,10.7,1.3
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.12,mcd,65.6846,D.-T. et al. 2014,0.3374,-0.313,10.79,1.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.13,mcd,65.6866,D.-T. et al. 2014,0.3354,-0.358,10.99,1.6
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.14,mcd,65.6886,D.-T. et al. 2014,0.3334,-0.35,10.95,1.56
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.15,mcd,65.6907,D.-T. et al. 2014,0.3313,-0.451,11.41,2.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.15,mcd,65.6927,D.-T. et al. 2014,0.3293,-0.428,11.3,1.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.16,mcd,65.6947,D.-T. et al. 2014,0.3273,-0.463,11.46,2.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.17,mcd,65.6968,D.-T. et al. 2014,0.3252,-0.29,10.68,1.29
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.18,mcd,65.6988,D.-T. et al. 2014,0.3232,-0.523,11.73,2.34
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.19,mcd,65.7008,D.-T. et al. 2014,0.3212,-0.495,11.61,2.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.19,mcd,65.7029,D.-T. et al. 2014,0.3191,-0.269,10.59,1.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.2,mcd,65.7049,D.-T. et al. 2014,0.3171,-0.086,9.78,0.38
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.21,mcd,65.7069,D.-T. et al. 2014,0.3151,-0.641,12.26,2.87
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.22,mcd,65.7103,D.-T. et al. 2014,0.3117,-0.48,11.54,2.14
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.23,mcd,65.7137,D.-T. et al. 2014,0.3084,-0.641,12.26,2.87
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.23,mcd,65.717,D.-T. et al. 2014,0.305,-0.276,10.62,1.23
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.24,mcd,65.7204,D.-T. et al. 2014,0.3016,-0.008,9.43,0.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.25,mcd,65.7238,D.-T. et al. 2014,0.2982,-0.515,11.69,2.3
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.26,mcd,65.728,D.-T. et al. 2014,0.294,-0.279,10.64,1.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.27,mcd,65.7322,D.-T. et al. 2014,0.2898,-0.093,9.81,0.41
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.28,mcd,65.7364,D.-T. et al. 2014,0.2856,-0.273,10.61,1.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.29,mcd,65.7406,D.-T. et al. 2014,0.2814,-0.337,10.9,1.5
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.3,mcd,65.7448,D.-T. et al. 2014,0.2772,-0.327,10.85,1.46
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.31,mcd,65.749,D.-T. et al. 2014,0.273,-0.642,12.27,2.87
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.32,mcd,65.7532,D.-T. et al. 2014,0.2688,0.095,8.97,-0.42
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.33,mcd,65.7574,D.-T. et al. 2014,0.2646,-0.647,12.29,2.89
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.34,mcd,65.7616,D.-T. et al. 2014,0.2604,-0.329,10.86,1.46
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.35,mcd,65.7658,D.-T. et al. 2014,0.2562,-0.458,11.44,2.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.36,mcd,65.77,D.-T. et al. 2014,0.252,-0.397,11.17,1.77
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,215.37,mcd,65.7742,D.-T. et al. 2014,0.2478,-0.547,11.84,2.44
