Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.77,mcd,66.4348,D.-T. et al. 2014,-0.4128,-0.22,10.38,0.98
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.8,mcd,66.4365,D.-T. et al. 2014,-0.4145,0.134,8.81,-0.59
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.83,mcd,66.4381,D.-T. et al. 2014,-0.4161,-0.019,9.48,0.09
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.86,mcd,66.4397,D.-T. et al. 2014,-0.4177,0.124,8.85,-0.55
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.89,mcd,66.4413,D.-T. et al. 2014,-0.4193,0.007,9.36,-0.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.92,mcd,66.443,D.-T. et al. 2014,-0.421,-0.048,9.61,0.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.95,mcd,66.4446,D.-T. et al. 2014,-0.4226,0.02,9.31,-0.09
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,224.98,mcd,66.4462,D.-T. et al. 2014,-0.4242,-0.112,9.89,0.5
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.01,mcd,66.4478,D.-T. et al. 2014,-0.4258,-0.087,9.78,0.39
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.04,mcd,66.4494,D.-T. et al. 2014,-0.4274,-0.043,9.59,0.19
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.1,mcd,66.4527,D.-T. et al. 2014,-0.4307,-0.282,10.65,1.25
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.13,mcd,66.4543,D.-T. et al. 2014,-0.4323,-0.176,10.18,0.78
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.16,mcd,66.4559,D.-T. et al. 2014,-0.4339,0.03,9.26,-0.13
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.19,mcd,66.4576,D.-T. et al. 2014,-0.4356,0.063,9.12,-0.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.22,mcd,66.4592,D.-T. et al. 2014,-0.4372,-0.092,9.8,0.41
